	(1)	(2)	(3)
VARIABLES	P5	P25	P50
			
ΔGSV	0.00595***	0.00346***	0.00326***
	(0.000673)	(0.000302)	(0.000221)
ΔVIX	-0.195***	-0.217***	-0.241***
	(0.0269)	(0.0145)	(0.0118)
ΔEPU_US	0.000824	0.00263	0.00353
	(0.00741)	(0.00394)	(0.00318)
ΔADS	0.00369	0.00497**	0.00641***
	(0.00358)	(0.00199)	(0.00170)
ΔTERM	-0.0726*	-0.0589***	-0.0747***
	(0.0430)	(0.0214)	(0.0169)
L.returns	0.107***	0.0594***	0.0671***
	(0.0273)	(0.0136)	(0.0101)
Constant	0.00299	0.00134	0.000743
	(0.00415)	(0.00221)	(0.00180)
			
Observations	1,205	4,937	9,062
Number of coin_id	5	25	50
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
