Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,0.015041,0.015730,0.014938,0.015307,0.015307,46250600
2018-08-04,0.015218,0.015944,0.012377,0.013333,0.013333,27059500
2018-08-05,0.013428,0.014296,0.012696,0.014081,0.014081,19746000
2018-08-06,0.013963,0.014308,0.012930,0.013424,0.013424,18774100
2018-08-07,0.013315,0.014457,0.012163,0.012899,0.012899,21022400
2018-08-08,0.012858,0.013021,0.010402,0.010776,0.010776,22236100
2018-08-09,0.010761,0.012022,0.010316,0.011683,0.011683,32613700
2018-08-10,0.011667,0.012135,0.009460,0.009747,0.009747,36278100
2018-08-11,0.009682,0.009753,0.008724,0.009192,0.009192,12731100
2018-08-12,0.009195,0.009752,0.009024,0.009080,0.009080,8428220
2018-08-13,0.009090,0.009201,0.006960,0.007168,0.007168,16989000
2018-08-14,0.007204,0.007736,0.006116,0.007736,0.007736,22264400
2018-08-15,0.007768,0.008747,0.007663,0.007891,0.007891,22410600
2018-08-16,0.007899,0.011601,0.007744,0.011221,0.011221,51160900
2018-08-17,0.011227,0.015232,0.010868,0.015031,0.015031,94427600
2018-08-18,0.014950,0.014950,0.011119,0.012732,0.012732,49994400
2018-08-19,0.012711,0.014422,0.012263,0.014374,0.014374,36557300
2018-08-20,0.014275,0.014877,0.013032,0.013057,0.013057,38838000
2018-08-21,0.012951,0.015805,0.012951,0.015389,0.015389,49710400
2018-08-22,0.015461,0.016250,0.012490,0.013787,0.013787,67288000
2018-08-23,0.013686,0.014784,0.013630,0.014674,0.014674,31250400
2018-08-24,0.014743,0.014743,0.013981,0.014535,0.014535,19980000
2018-08-25,0.014552,0.015735,0.014244,0.015413,0.015413,24453700
2018-08-26,0.015390,0.015446,0.014513,0.015233,0.015233,20503900
2018-08-27,0.015222,0.017856,0.015210,0.017824,0.017824,53968100
2018-08-28,0.017839,0.018756,0.017549,0.017980,0.017980,45607800
2018-08-29,0.017981,0.018113,0.016611,0.016924,0.016924,36464600
2018-08-30,0.016953,0.017341,0.015660,0.017341,0.017341,26699000
2018-08-31,0.017229,0.017558,0.016626,0.017143,0.017143,29320200
2018-09-01,0.017106,0.018581,0.016999,0.018176,0.018176,28300500
2018-09-02,0.018144,0.018394,0.017387,0.017815,0.017815,21871100
2018-09-03,0.017853,0.019222,0.017412,0.018753,0.018753,29578300
2018-09-04,0.018778,0.019775,0.018590,0.019471,0.019471,37147400
2018-09-05,0.019446,0.019740,0.016192,0.016192,0.016192,49983300
2018-09-06,0.016262,0.016329,0.015057,0.016142,0.016142,36930400
2018-09-07,0.016133,0.016769,0.015261,0.015676,0.015676,27829600
2018-09-08,0.015631,0.016219,0.014365,0.014644,0.014644,19308600
2018-09-09,0.014637,0.015326,0.014176,0.014490,0.014490,18117700
2018-09-10,0.014565,0.015371,0.013830,0.014124,0.014124,22846400
2018-09-11,0.014237,0.014284,0.012823,0.013121,0.013121,18847600
2018-09-12,0.013163,0.013991,0.011735,0.013835,0.013835,25123900
2018-09-13,0.013835,0.014357,0.013275,0.014060,0.014060,28222000
2018-09-14,0.014089,0.014358,0.013534,0.013978,0.013978,16430800
2018-09-15,0.013958,0.014609,0.013754,0.014275,0.014275,14368600
2018-09-16,0.014267,0.014335,0.013821,0.014170,0.014170,10220600
2018-09-17,0.014159,0.014324,0.012430,0.012725,0.012725,20636200
2018-09-18,0.012732,0.013238,0.012415,0.012956,0.012956,16694600
2018-09-19,0.012991,0.013254,0.012500,0.013005,0.013005,17267900
2018-09-20,0.013008,0.013687,0.012933,0.013630,0.013630,18295500
2018-09-21,0.013702,0.014614,0.013469,0.014390,0.014390,36111400
2018-09-22,0.014388,0.014583,0.013459,0.013666,0.013666,14838600
2018-09-23,0.013740,0.014086,0.013616,0.013945,0.013945,11897700
2018-09-24,0.013912,0.013990,0.012918,0.013123,0.013123,18296700
2018-09-25,0.013123,0.013123,0.012171,0.012803,0.012803,19622300
2018-09-26,0.012788,0.012939,0.012396,0.012554,0.012554,16953400
2018-09-27,0.012531,0.013197,0.012436,0.013078,0.013078,17120600
2018-09-28,0.013086,0.013594,0.012994,0.013047,0.013047,15868800
2018-09-29,0.013049,0.013098,0.012715,0.013052,0.013052,14815500
2018-09-30,0.013073,0.013120,0.012708,0.012891,0.012891,14573700
2018-10-01,0.012888,0.013100,0.012673,0.012804,0.012804,12615600
2018-10-02,0.012805,0.013353,0.012786,0.012994,0.012994,17676800
2018-10-03,0.012947,0.012982,0.012618,0.012765,0.012765,12731200
2018-10-04,0.012768,0.012953,0.012749,0.012826,0.012826,10516100
2018-10-05,0.012834,0.013213,0.012779,0.013110,0.013110,7337180
2018-10-06,0.013122,0.013229,0.012933,0.012996,0.012996,4673320
2018-10-07,0.013016,0.013111,0.012874,0.013076,0.013076,4508570
2018-10-08,0.013094,0.013851,0.012992,0.013666,0.013666,10593600
2018-10-09,0.013681,0.013758,0.013390,0.013595,0.013595,8453330
2018-10-10,0.013566,0.013639,0.013083,0.013281,0.013281,11145500
2018-10-11,0.013245,0.013302,0.011153,0.011229,0.011229,16074400
2018-10-12,0.011154,0.011730,0.011060,0.011562,0.011562,9936260
2018-10-13,0.011542,0.011674,0.011400,0.011481,0.011481,6564870
2018-10-14,0.011456,0.011707,0.011319,0.011360,0.011360,7932190
