Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,1.647610,1.683745,1.528893,1.545652,1.545652,22597744
2021-08-19,1.545404,1.770357,1.452402,1.682408,1.682408,21305882
2021-08-20,1.682382,1.762983,1.615190,1.733059,1.733059,23543923
2021-08-21,1.732689,1.737825,1.647222,1.656758,1.656758,10269668
2021-08-22,1.657456,1.680573,1.553657,1.557148,1.557148,9392351
2021-08-23,1.556925,1.702164,1.556925,1.579631,1.579631,13674646
2021-08-24,1.579681,1.633723,1.507445,1.517117,1.517117,11694257
2021-08-25,1.516779,1.599022,1.487191,1.583873,1.583873,12453398
2021-08-26,1.583366,1.583559,1.474820,1.558756,1.558756,15769893
2021-08-27,1.558082,1.669151,1.495177,1.578451,1.578451,16868664
2021-08-28,1.577785,1.620042,1.524463,1.538353,1.538353,9880625
2021-08-29,1.538387,1.561226,1.376151,1.415415,1.415415,24376031
2021-08-30,1.415503,1.645413,1.382210,1.488766,1.488766,40255898
2021-08-31,1.487909,1.493349,1.418142,1.436679,1.436679,14997979
2021-09-01,1.439749,1.623693,1.417272,1.583217,1.583217,15217275
2021-09-02,1.592107,1.596470,1.507181,1.508939,1.508939,12283875
2021-09-03,1.508610,1.524938,1.466448,1.483102,1.483102,15735053
2021-09-04,1.483083,1.509325,1.457415,1.498056,1.498056,9713005
2021-09-05,1.497790,1.497790,1.427930,1.435103,1.435103,12744037
2021-09-06,1.435039,1.473663,1.412698,1.428143,1.428143,14486589
2021-09-07,1.427333,1.471953,1.243761,1.253773,1.253773,19716734
2021-09-08,1.253305,1.360345,1.197281,1.337780,1.337780,18190020
2021-09-09,1.334215,1.407028,1.310120,1.354361,1.354361,13366462
2021-09-10,1.354350,1.394887,1.313566,1.329156,1.329156,13819282
2021-09-11,1.329242,1.489252,1.316763,1.481407,1.481407,13682897
2021-09-12,1.481619,1.626739,1.426175,1.469861,1.469861,17743534
2021-09-13,1.469956,1.513878,1.403004,1.512378,1.512378,20140617
2021-09-14,1.512209,1.607144,1.509025,1.589833,1.589833,12984214
2021-09-15,1.589684,1.745839,1.557477,1.713575,1.713575,13761898
2021-09-16,1.713870,1.902161,1.650752,1.703785,1.703785,48859023
2021-09-17,1.704008,1.775312,1.631352,1.724302,1.724302,27635043
2021-09-18,1.724357,1.818947,1.698796,1.764218,1.764218,21978884
2021-09-19,1.764218,1.775421,1.664534,1.664534,1.664534,12914211
2021-09-20,1.664322,1.689209,1.459456,1.481770,1.481770,22256104
2021-09-21,1.481951,1.548873,1.389138,1.390219,1.390219,15099430
2021-09-22,1.388921,1.563410,1.363515,1.536862,1.536862,27812275
2021-09-23,1.536009,1.693917,1.536009,1.647552,1.647552,22460408
2021-09-24,1.647507,1.658546,1.405783,1.482637,1.482637,14470210
2021-09-25,1.482610,1.483675,1.406853,1.440976,1.440976,14192269
2021-09-26,1.440984,1.480855,1.260388,1.446972,1.446972,19827713
2021-09-27,1.446933,1.561949,1.446122,1.457545,1.457545,16632221
2021-09-28,1.456970,1.586627,1.420552,1.523476,1.523476,20644487
2021-09-29,1.523845,1.564097,1.494276,1.513579,1.513579,11933517
2021-09-30,1.513523,1.583897,1.513284,1.579010,1.579010,14057184
2021-10-01,1.578985,1.832804,1.556165,1.798663,1.798663,28155376
2021-10-02,1.798841,1.802401,1.762630,1.773925,1.773925,11862454
2021-10-03,1.773665,1.808856,1.750261,1.777540,1.777540,8756304
2021-10-04,1.777458,1.791998,1.707308,1.774511,1.774511,18049543
2021-10-05,1.774445,1.842736,1.773721,1.840554,1.840554,12080043
2021-10-06,1.840494,1.880158,1.780558,1.863746,1.863746,27790286
2021-10-07,1.863557,1.863557,1.788893,1.789488,1.789488,14731417
2021-10-08,1.789518,1.851812,1.789238,1.799702,1.799702,18355856
2021-10-09,1.799806,1.843959,1.799738,1.829030,1.829030,11966817
2021-10-10,1.828886,1.845313,1.782216,1.786063,1.786063,14439278
2021-10-11,1.786406,1.846316,1.777532,1.818235,1.818235,15389444
2021-10-12,1.818355,1.819684,1.747705,1.785317,1.785317,14125407
2021-10-13,1.785512,1.832097,1.748772,1.832097,1.832097,14642111
2021-10-14,1.832029,1.883125,1.827164,1.864441,1.864441,24928518
2021-10-15,1.865224,1.897993,1.775017,1.785234,1.785234,28835097
2021-10-16,1.785516,1.802899,1.773121,1.780625,1.780625,16340669
2021-10-17,1.780588,1.808756,1.745701,1.800056,1.800056,18116604
2021-10-18,1.799513,1.881091,1.783596,1.803205,1.803205,21014917
2021-10-19,1.804097,2.002281,1.792672,1.999571,1.999571,50503907
2021-10-20,2.001716,2.469832,1.995121,2.389816,2.389816,89826072
2021-10-21,2.388177,2.388177,2.182655,2.212016,2.212016,56618254
2021-10-22,2.211065,2.305798,2.137964,2.166871,2.166871,48537635
2021-10-23,2.166862,2.269622,2.151952,2.258472,2.258472,24728532
2021-10-24,2.258598,2.263835,2.173062,2.209590,2.209590,16939688
2021-10-25,2.209502,2.445753,2.206464,2.415388,2.415388,36075928
2021-10-26,2.415072,2.424849,2.298663,2.307677,2.307677,27894240
2021-10-27,2.306803,2.361423,2.227727,2.229596,2.229596,40787919
2021-10-28,2.229118,2.435768,2.212139,2.393538,2.393538,39536950
2021-10-29,2.393654,2.736966,2.386723,2.725149,2.725149,48439037
2021-10-30,2.725812,2.859025,2.684751,2.834255,2.834255,49860561
2021-10-31,2.826043,2.872130,2.638371,2.748992,2.748992,41542640
2021-11-01,2.747391,2.816572,2.677962,2.735174,2.735174,24772259
2021-11-02,2.734555,2.903019,2.719665,2.869972,2.869972,558792741
2021-11-03,2.870041,2.901004,2.763955,2.831146,2.831146,25506923
2021-11-04,2.830806,2.835144,2.659476,2.667731,2.667731,21316340
2021-11-05,2.668152,2.761998,2.471889,2.611412,2.611412,56862899
