Date,Open,High,Low,Close,Adj Close,Volume
2020-09-04,17.199446,20.426851,16.956684,17.663235,17.663235,17523619
2020-09-05,17.668823,17.721092,10.540353,12.363200,12.363200,14702761
2020-09-06,12.369630,14.389669,11.872577,13.388014,13.388014,11250929
2020-09-07,13.388372,13.549776,12.040600,13.220532,13.220532,12113978
2020-09-08,13.223187,15.521870,13.218848,13.879171,13.879171,18565986
2020-09-09,13.882618,15.409046,13.838180,15.115467,15.115467,11363483
2020-09-10,15.137818,15.640980,13.913678,13.975059,13.975059,9007005
2020-09-11,13.974897,14.458511,13.618724,14.299279,14.299279,5079868
2020-09-12,14.300796,14.503338,13.691357,13.908657,13.908657,4017358
2020-09-13,13.917316,13.997111,13.024568,13.303649,13.303649,4359422
2020-09-14,13.298687,14.436679,12.805499,13.991923,13.991923,10072079
2020-09-15,13.991923,14.912399,12.890079,13.053008,13.053008,10796552
2020-09-16,13.073462,13.076922,11.891562,12.621472,12.621472,5846680
2020-09-17,12.638043,12.868503,11.781133,12.029503,12.029503,4094862
2020-09-18,12.044393,12.325330,10.977498,11.209902,11.209902,5599254
2020-09-19,11.228385,12.216463,11.201728,11.961628,11.961628,5052131
2020-09-20,11.944527,12.094685,10.334078,10.727280,10.727280,5716498
2020-09-21,10.727280,10.947689,8.516899,8.865804,8.865804,8432342
2020-09-22,8.850657,9.068577,8.462226,8.722448,8.722448,5299690
2020-09-23,8.713059,9.429151,8.344376,8.785573,8.785573,8650006
2020-09-24,8.790503,9.223623,8.747332,9.179650,9.179650,5421197
2020-09-25,9.227851,10.095768,9.153250,10.002555,10.002555,6928257
2020-09-26,10.002612,10.591037,9.981011,10.428104,10.428104,4974070
2020-09-27,10.425682,10.480589,9.654930,10.031836,10.031836,4049774
2020-09-28,10.032233,10.508054,10.012111,10.018739,10.018739,4189993
2020-09-29,10.018709,10.315873,9.993311,10.252137,10.252137,3949916
2020-09-30,10.255261,10.582171,10.089363,10.362427,10.362427,5678673
2020-10-01,10.362407,10.916383,10.053799,10.281541,10.281541,6872983
2020-10-02,10.281635,10.293905,9.103240,9.408763,9.408763,5297398
2020-10-03,9.409598,9.530454,9.107460,9.110964,9.110964,2313252
2020-10-04,9.112010,9.282805,8.936759,9.059168,9.059168,2771442
2020-10-05,9.062495,9.110842,8.142407,8.473796,8.473796,5744715
2020-10-06,8.474316,8.474316,6.886353,6.942005,6.942005,5801902
2020-10-07,6.942788,7.772128,6.543630,7.763875,7.763875,6173917
2020-10-08,7.763830,7.781643,7.073230,7.460816,7.460816,5344220
2020-10-09,7.468998,8.118840,7.341336,7.929207,7.929207,5643499
2020-10-10,7.923905,8.068077,7.764983,7.773178,7.773178,3369208
2020-10-11,7.775783,8.180841,7.609295,8.168796,8.168796,4109759
2020-10-12,8.169241,8.188140,7.868267,8.049858,8.049858,4047358
2020-10-13,8.030536,8.154600,7.873408,7.961527,7.961527,3085183
2020-10-14,7.957120,8.173066,7.785662,7.996240,7.996240,5519294
2020-10-15,7.994528,7.994528,7.735955,7.867977,7.867977,4886077
2020-10-16,7.870703,7.874963,7.284109,7.389546,7.389546,5261453
2020-10-17,7.386767,7.658085,7.377261,7.612434,7.612434,3464904
2020-10-18,7.617887,7.691926,7.550207,7.597475,7.597475,3319943
2020-10-19,7.596012,7.598455,7.311000,7.346209,7.346209,4018733
2020-10-20,7.349620,7.349620,6.797470,7.164032,7.164032,7918072
2020-10-21,7.163231,7.499697,7.161679,7.499697,7.499697,6425547
2020-10-22,7.499503,7.788069,7.421910,7.692815,7.692815,5028264
2020-10-23,7.697023,8.620483,7.655419,8.567632,8.567632,15864726
