Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,0.082504,0.085654,0.076603,0.082749,0.082749,258484
2020-11-12,0.082747,0.087045,0.076989,0.085871,0.085871,244689
2020-11-13,0.085871,0.134017,0.082139,0.123299,0.123299,786207
2020-11-14,0.123302,0.144165,0.120523,0.134478,0.134478,695846
2020-11-15,0.134475,0.146694,0.121051,0.144068,0.144068,2014699
2020-11-16,0.144067,0.194935,0.137998,0.188365,0.188365,4079595
2020-11-17,0.204006,0.302166,0.187005,0.301138,0.301138,5532193
2020-11-18,0.301133,0.301133,0.235527,0.265602,0.265602,1576959
2020-11-19,0.265601,0.265601,0.204379,0.212287,0.212287,1930061
2020-11-20,0.212287,0.212383,0.175251,0.189046,0.189046,714397
2020-11-21,0.189046,0.210935,0.184985,0.194751,0.194751,1055371
2020-11-22,0.194751,0.194751,0.170097,0.171632,0.171632,82239
2020-11-23,0.171626,0.184673,0.140217,0.140567,0.140567,839970
2020-11-24,0.140573,0.140901,0.121560,0.127829,0.127829,948310
2020-11-25,0.127838,0.137766,0.118288,0.128563,0.128563,789295
2020-11-26,0.128561,0.147416,0.120370,0.131586,0.131586,1304906
2020-11-27,0.131603,0.138763,0.126810,0.127218,0.127218,306504
2020-11-28,0.127219,0.131779,0.124912,0.126225,0.126225,115487
2020-11-29,0.126226,0.127837,0.122161,0.122190,0.122190,67565
2020-11-30,0.122171,0.137116,0.121746,0.134354,0.134354,672071
2020-12-01,0.134354,0.135624,0.127065,0.128706,0.128706,377985
2020-12-02,0.128709,0.129301,0.123365,0.126883,0.126883,210176
2020-12-03,0.126885,0.127804,0.110794,0.111498,0.111498,660756
2020-12-04,0.111499,0.118003,0.099392,0.099891,0.099891,59346
2020-12-05,0.099748,0.103799,0.097150,0.099336,0.099336,143361
2020-12-06,0.099337,0.104566,0.094544,0.099839,0.099839,358111
2020-12-07,0.099843,0.108727,0.097614,0.106807,0.106807,166259
2020-12-08,0.106801,0.129881,0.106125,0.118168,0.118168,575355
2020-12-09,0.118175,0.130207,0.113925,0.128050,0.128050,678215
2020-12-10,0.128044,0.133715,0.123851,0.130373,0.130373,48588
2020-12-11,0.130341,0.134418,0.121276,0.124827,0.124827,361654
2020-12-12,0.124829,0.126916,0.119767,0.121737,0.121737,281860
2020-12-13,0.121720,0.123793,0.115256,0.116556,0.116556,186405
2020-12-14,0.115967,0.124930,0.113344,0.118509,0.118509,346894
2020-12-15,0.118513,0.123617,0.118513,0.121672,0.121672,121699
2020-12-16,0.121671,0.123075,0.114871,0.116138,0.116138,477973
2020-12-17,0.116142,0.119189,0.113375,0.114959,0.114959,255850
2020-12-18,0.114932,0.123420,0.113104,0.122387,0.122387,48702
2020-12-19,0.122452,0.138586,0.121225,0.138440,0.138440,539377
2020-12-20,0.138431,0.145576,0.134518,0.144621,0.144621,255859
2020-12-21,0.144629,0.145821,0.131205,0.134490,0.134490,285165
2020-12-22,0.134486,0.137749,0.121815,0.129873,0.129873,596032
2020-12-23,0.129871,0.131873,0.121253,0.121827,0.121827,278971
2020-12-24,0.121821,0.126121,0.120792,0.123801,0.123801,315025
2020-12-25,0.124019,0.129045,0.121548,0.127619,0.127619,367464
2020-12-26,0.127616,0.131050,0.125208,0.129345,0.129345,297305
2020-12-27,0.129354,0.131759,0.121178,0.129430,0.129430,524934
2020-12-28,0.129410,0.135178,0.128241,0.133408,0.133408,404841
2020-12-29,0.133401,0.133522,0.121505,0.127954,0.127954,237539
2020-12-30,0.127982,0.138635,0.124342,0.134585,0.134585,295786
2020-12-31,0.134595,0.135682,0.125641,0.134609,0.134609,411562
2021-01-01,0.134608,0.135032,0.126761,0.128463,0.128463,115677
2021-01-02,0.128447,0.130973,0.127458,0.129813,0.129813,391953
2021-01-03,0.129852,0.130418,0.118455,0.127298,0.127298,448150
2021-01-04,0.127514,0.128889,0.113865,0.120824,0.120824,74473
2021-01-05,0.120814,0.125365,0.119127,0.121881,0.121881,260110
2021-01-06,0.121882,0.123969,0.118698,0.120161,0.120161,381444
2021-01-07,0.120163,0.138401,0.119611,0.132840,0.132840,92086
2021-01-08,0.132769,0.147854,0.120781,0.143885,0.143885,887533
2021-01-09,0.143891,0.178870,0.139008,0.166474,0.166474,1778194
2021-01-10,0.166487,0.188983,0.158261,0.158892,0.158892,1149864
2021-01-11,0.158887,0.161410,0.127345,0.157126,0.157126,1385556
2021-01-12,0.157119,0.208800,0.144149,0.186985,0.186985,2301478
2021-01-13,0.186936,0.187055,0.171764,0.180879,0.180879,1456610
2021-01-14,0.180850,0.190165,0.175949,0.184677,0.184677,176590
2021-01-15,0.184659,0.190293,0.146849,0.153084,0.153084,1066511
2021-01-16,0.153252,0.163997,0.144028,0.156667,0.156667,1174803
2021-01-17,0.156675,0.165156,0.152829,0.159896,0.159896,1275941
2021-01-18,0.159880,0.189506,0.159058,0.187260,0.187260,771964
2021-01-19,0.187255,0.193982,0.179143,0.189200,0.189200,1433183
2021-01-20,0.189191,0.194636,0.178336,0.185742,0.185742,1239117
2021-01-21,0.185743,0.197583,0.176883,0.186655,0.186655,908199
2021-01-22,0.186659,0.198816,0.179630,0.192449,0.192449,1427647
2021-01-23,0.192428,0.196734,0.185387,0.194856,0.194856,837888
2021-01-24,0.194856,0.209264,0.190494,0.207955,0.207955,1144189
2021-01-25,0.207950,0.228870,0.204153,0.225320,0.225320,1209894
2021-01-26,0.225320,0.239984,0.209671,0.226908,0.226908,158794
2021-01-27,0.226957,0.238201,0.221619,0.229589,0.229589,1670282
2021-01-28,0.229605,0.242087,0.226415,0.232293,0.232293,1361721
2021-01-29,0.232342,0.242069,0.226240,0.230846,0.230846,1523664
2021-01-30,0.230832,0.234996,0.223182,0.228146,0.228146,965921
