Category: All categories

Week,Polkadot: (Worldwide)
2020-08-23,32
2020-08-30,19
2020-09-06,15
2020-09-13,14
2020-09-20,11
2020-09-27,9
2020-10-04,10
2020-10-11,9
2020-10-18,10
2020-10-25,11
2020-11-01,10
2020-11-08,9
2020-11-15,12
2020-11-22,13
2020-11-29,11
2020-12-06,11
2020-12-13,14
2020-12-20,13
2020-12-27,42
2021-01-03,45
2021-01-10,69
2021-01-17,81
2021-01-24,49
2021-01-31,81
2021-02-07,79
2021-02-14,89
2021-02-21,85
2021-02-28,61
2021-03-07,54
2021-03-14,47
2021-03-21,40
2021-03-28,62
2021-04-04,53
2021-04-11,62
2021-04-18,55
2021-04-25,47
2021-05-02,64
2021-05-09,65
2021-05-16,59
2021-05-23,47
2021-05-30,38
2021-06-06,28
2021-06-13,38
2021-06-20,33
2021-06-27,28
2021-07-04,25
2021-07-11,23
2021-07-18,26
2021-07-25,25
2021-08-01,31
2021-08-08,32
2021-08-15,40
2021-08-22,35
2021-08-29,44
2021-09-05,40
2021-09-12,43
2021-09-19,31
2021-09-26,26
2021-10-03,33
2021-10-10,62
2021-10-17,53
2021-10-24,48
2021-10-31,100
2021-11-07,87
2021-11-14,66
2021-11-21,46
2021-11-28,48
2021-12-05,42
2021-12-12,45
2021-12-19,45
2021-12-26,46
2022-01-02,48
2022-01-09,48
2022-01-16,43
2022-01-23,52
2022-01-30,40
2022-02-06,36
2022-02-13,33
2022-02-20,30
2022-02-27,31
2022-03-06,26
2022-03-13,26
2022-03-20,30
2022-03-27,34
2022-04-03,31
2022-04-10,27
2022-04-17,27
2022-04-24,27
2022-05-01,26
2022-05-08,32
2022-05-15,24
2022-05-22,22
2022-05-29,19
2022-06-05,21
2022-06-12,23
2022-06-19,21
2022-06-26,22
2022-07-03,18
2022-07-10,19
2022-07-17,23
2022-07-24,25
2022-07-31,24
2022-08-07,22
2022-08-14,23
2022-08-21,18
2022-08-28,18
2022-09-04,17
2022-09-11,16
2022-09-18,16
2022-09-25,18
2022-10-02,17
2022-10-09,15
2022-10-16,15
2022-10-23,17
2022-10-30,21
2022-11-06,17
2022-11-13,17
2022-11-20,14
2022-11-27,14
2022-12-04,13
2022-12-11,14
2022-12-18,14
2022-12-25,16
2023-01-01,15
2023-01-08,17
2023-01-15,17
2023-01-22,16
2023-01-29,18
2023-02-05,16
2023-02-12,17
2023-02-19,16
2023-02-26,16
2023-03-05,20
2023-03-12,16
2023-03-19,17
2023-03-26,16
2023-04-02,16
2023-04-09,17
2023-04-16,15
2023-04-23,15
2023-04-30,16
2023-05-07,15
2023-05-14,14
2023-05-21,14
