Category: All categories

Week,Litecoin: (Worldwide)
2018-05-27,20
2018-06-03,18
2018-06-10,26
2018-06-17,21
2018-06-24,24
2018-07-01,17
2018-07-08,17
2018-07-15,21
2018-07-22,19
2018-07-29,18
2018-08-05,22
2018-08-12,21
2018-08-19,17
2018-08-26,18
2018-09-02,19
2018-09-09,18
2018-09-16,16
2018-09-23,16
2018-09-30,13
2018-10-07,14
2018-10-14,14
2018-10-21,11
2018-10-28,12
2018-11-04,13
2018-11-11,14
2018-11-18,16
2018-11-25,17
2018-12-02,15
2018-12-09,15
2018-12-16,18
2018-12-23,16
2018-12-30,14
2019-01-06,19
2019-01-13,13
2019-01-20,11
2019-01-27,11
2019-02-03,19
2019-02-10,17
2019-02-17,20
2019-02-24,16
2019-03-03,21
2019-03-10,16
2019-03-17,16
2019-03-24,14
2019-03-31,30
2019-04-07,23
2019-04-14,16
2019-04-21,15
2019-04-28,15
2019-05-05,18
2019-05-12,29
2019-05-19,22
2019-05-26,33
2019-06-02,25
2019-06-09,41
2019-06-16,36
2019-06-23,38
2019-06-30,26
2019-07-07,27
2019-07-14,27
2019-07-21,21
2019-07-28,23
2019-08-04,26
2019-08-11,20
2019-08-18,17
2019-08-25,16
2019-09-01,15
2019-09-08,14
2019-09-15,15
2019-09-22,16
2019-09-29,12
2019-10-06,12
2019-10-13,11
2019-10-20,13
2019-10-27,13
2019-11-03,12
2019-11-10,12
2019-11-17,13
2019-11-24,12
2019-12-01,10
2019-12-08,9
2019-12-15,12
2019-12-22,12
2019-12-29,11
2020-01-05,14
2020-01-12,17
2020-01-19,13
2020-01-26,18
2020-02-02,19
2020-02-09,20
2020-02-16,17
2020-02-23,15
2020-03-01,12
2020-03-08,19
2020-03-15,19
2020-03-22,13
2020-03-29,12
2020-04-05,13
2020-04-12,12
2020-04-19,13
2020-04-26,15
2020-05-03,15
2020-05-10,15
2020-05-17,13
2020-05-24,13
2020-05-31,12
2020-06-07,11
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,12
2020-07-12,12
2020-07-19,12
2020-07-26,21
2020-08-02,18
2020-08-09,15
2020-08-16,19
2020-08-23,13
2020-08-30,15
2020-09-06,12
2020-09-13,11
2020-09-20,10
2020-09-27,10
2020-10-04,10
2020-10-11,10
2020-10-18,14
2020-10-25,13
2020-11-01,14
2020-11-08,16
2020-11-15,31
2020-11-22,30
2020-11-29,25
2020-12-06,18
2020-12-13,33
2020-12-20,41
2020-12-27,52
2021-01-03,100
2021-01-10,71
2021-01-17,48
2021-01-24,45
2021-01-31,51
2021-02-07,86
2021-02-14,99
2021-02-21,72
2021-02-28,47
2021-03-07,54
2021-03-14,47
2021-03-21,37
2021-03-28,43
2021-04-04,50
2021-04-11,87
2021-04-18,71
2021-04-25,51
2021-05-02,92
2021-05-09,94
2021-05-16,71
2021-05-23,55
2021-05-30,41
2021-06-06,32
2021-06-13,28
2021-06-20,31
2021-06-27,24
2021-07-04,21
2021-07-11,19
2021-07-18,21
2021-07-25,24
2021-08-01,21
2021-08-08,32
2021-08-15,29
2021-08-22,26
2021-08-29,28
2021-09-05,32
2021-09-12,37
2021-09-19,24
2021-09-26,20
2021-10-03,25
2021-10-10,25
2021-10-17,33
2021-10-24,27
2021-10-31,28
2021-11-07,48
2021-11-14,36
2021-11-21,29
2021-11-28,27
2021-12-05,28
2021-12-12,23
2021-12-19,22
2021-12-26,23
2022-01-02,23
2022-01-09,22
2022-01-16,25
2022-01-23,25
2022-01-30,22
2022-02-06,25
2022-02-13,20
2022-02-20,22
2022-02-27,20
2022-03-06,18
2022-03-13,16
2022-03-20,20
2022-03-27,19
2022-04-03,17
2022-04-10,15
2022-04-17,14
2022-04-24,15
2022-05-01,15
2022-05-08,21
2022-05-15,16
2022-05-22,14
2022-05-29,12
2022-06-05,12
2022-06-12,17
2022-06-19,15
2022-06-26,12
2022-07-03,11
2022-07-10,11
2022-07-17,13
2022-07-24,11
2022-07-31,10
2022-08-07,12
2022-08-14,10
2022-08-21,10
2022-08-28,9
2022-09-04,10
2022-09-11,10
2022-09-18,10
2022-09-25,9
2022-10-02,8
2022-10-09,8
2022-10-16,7
2022-10-23,8
2022-10-30,11
2022-11-06,13
2022-11-13,11
2022-11-20,16
2022-11-27,12
2022-12-04,11
2022-12-11,10
2022-12-18,9
2022-12-25,10
2023-01-01,10
2023-01-08,11
2023-01-15,12
2023-01-22,11
2023-01-29,13
2023-02-05,11
2023-02-12,10
2023-02-19,10
2023-02-26,8
2023-03-05,9
2023-03-12,10
2023-03-19,11
2023-03-26,11
2023-04-02,9
2023-04-09,10
2023-04-16,11
2023-04-23,9
2023-04-30,8
2023-05-07,9
2023-05-14,11
2023-05-21,11
