Category: All categories

Week,Shiba Inu: (Worldwide)
2020-08-02,3
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,2
2020-09-27,3
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,3
2020-11-01,2
2020-11-08,3
2020-11-15,3
2020-11-22,3
2020-11-29,2
2020-12-06,3
2020-12-13,3
2020-12-20,3
2020-12-27,3
2021-01-03,3
2021-01-10,3
2021-01-17,3
2021-01-24,3
2021-01-31,3
2021-02-07,3
2021-02-14,3
2021-02-21,3
2021-02-28,3
2021-03-07,3
2021-03-14,3
2021-03-21,3
2021-03-28,3
2021-04-04,3
2021-04-11,3
2021-04-18,5
2021-04-25,4
2021-05-02,9
2021-05-09,55
2021-05-16,26
2021-05-23,16
2021-05-30,15
2021-06-06,12
2021-06-13,14
2021-06-20,11
2021-06-27,12
2021-07-04,10
2021-07-11,7
2021-07-18,7
2021-07-25,7
2021-08-01,7
2021-08-08,9
2021-08-15,9
2021-08-22,7
2021-08-29,6
2021-09-05,7
2021-09-12,10
2021-09-19,8
2021-09-26,6
2021-10-03,47
2021-10-10,29
2021-10-17,22
2021-10-24,100
2021-10-31,61
2021-11-07,35
2021-11-14,25
2021-11-21,22
2021-11-28,23
2021-12-05,16
2021-12-12,15
2021-12-19,16
2021-12-26,15
2022-01-02,13
2022-01-09,14
2022-01-16,12
2022-01-23,12
2022-01-30,11
2022-02-06,18
2022-02-13,11
2022-02-20,10
2022-02-27,9
2022-03-06,8
2022-03-13,8
2022-03-20,8
2022-03-27,10
2022-04-03,7
2022-04-10,11
2022-04-17,8
2022-04-24,8
2022-05-01,7
2022-05-08,9
2022-05-15,7
2022-05-22,6
2022-05-29,6
2022-06-05,5
2022-06-12,6
2022-06-19,7
2022-06-26,5
2022-07-03,5
2022-07-10,5
2022-07-17,6
2022-07-24,5
2022-07-31,5
2022-08-07,6
2022-08-14,9
2022-08-21,6
2022-08-28,5
2022-09-04,5
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,5
2022-10-30,6
2022-11-06,5
2022-11-13,4
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,4
2022-12-18,4
2022-12-25,4
2023-01-01,4
2023-01-08,5
2023-01-15,7
2023-01-22,5
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,6
2023-02-26,5
2023-03-05,4
2023-03-12,5
2023-03-19,5
2023-03-26,4
2023-04-02,6
2023-04-09,4
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,3
2023-05-14,4
2023-05-21,3
