Category: All categories

Week,Avalanche: (Worldwide)
2020-09-27,8
2020-10-04,9
2020-10-11,9
2020-10-18,9
2020-10-25,9
2020-11-01,7
2020-11-08,7
2020-11-15,12
2020-11-22,10
2020-11-29,10
2020-12-06,10
2020-12-13,11
2020-12-20,11
2020-12-27,13
2021-01-03,12
2021-01-10,20
2021-01-17,20
2021-01-24,18
2021-01-31,21
2021-02-07,25
2021-02-14,21
2021-02-21,20
2021-02-28,15
2021-03-07,15
2021-03-14,16
2021-03-21,18
2021-03-28,16
2021-04-04,17
2021-04-11,16
2021-04-18,13
2021-04-25,14
2021-05-02,16
2021-05-09,19
2021-05-16,24
2021-05-23,17
2021-05-30,37
2021-06-06,37
2021-06-13,11
2021-06-20,9
2021-06-27,9
2021-07-04,9
2021-07-11,10
2021-07-18,10
2021-07-25,11
2021-08-01,9
2021-08-08,9
2021-08-15,10
2021-08-22,11
2021-08-29,10
2021-09-05,10
2021-09-12,11
2021-09-19,11
2021-09-26,12
2021-10-03,12
2021-10-10,15
2021-10-17,14
2021-10-24,14
2021-10-31,14
2021-11-07,16
2021-11-14,18
2021-11-21,19
2021-11-28,18
2021-12-05,21
2021-12-12,25
2021-12-19,15
2021-12-26,15
2022-01-02,20
2022-01-09,22
2022-01-16,18
2022-01-23,20
2022-01-30,18
2022-02-06,18
2022-02-13,20
2022-02-20,20
2022-02-27,18
2022-03-06,18
2022-03-13,19
2022-03-20,20
2022-03-27,20
2022-04-03,17
2022-04-10,19
2022-04-17,19
2022-04-24,18
2022-05-01,26
2022-05-08,24
2022-05-15,29
2022-05-22,48
2022-05-29,44
2022-06-05,47
2022-06-12,48
2022-06-19,100
2022-06-26,63
2022-07-03,16
2022-07-10,17
2022-07-17,12
2022-07-24,11
2022-07-31,11
2022-08-07,10
2022-08-14,10
2022-08-21,9
2022-08-28,11
2022-09-04,9
2022-09-11,9
2022-09-18,10
2022-09-25,11
2022-10-02,13
2022-10-09,20
2022-10-16,17
2022-10-23,16
2022-10-30,15
2022-11-06,12
2022-11-13,16
2022-11-20,14
2022-11-27,15
2022-12-04,17
2022-12-11,17
2022-12-18,16
2022-12-25,21
2023-01-01,20
2023-01-08,22
2023-01-15,21
2023-01-22,21
2023-01-29,16
2023-02-05,19
2023-02-12,19
2023-02-19,20
2023-02-26,25
2023-03-05,19
2023-03-12,21
2023-03-19,20
2023-03-26,20
2023-04-02,22
2023-04-09,31
2023-04-16,25
2023-04-23,38
2023-04-30,24
2023-05-07,10
2023-05-14,9
2023-05-21,8
