Category: All categories

Week,Wrapped Bitcoin: (Worldwide)
2019-02-03,5
2019-02-10,0
2019-02-17,3
2019-02-24,0
2019-03-03,7
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,7
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,7
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,7
2019-06-23,3
2019-06-30,0
2019-07-07,0
2019-07-14,10
2019-07-21,0
2019-07-28,4
2019-08-04,11
2019-08-11,0
2019-08-18,4
2019-08-25,0
2019-09-01,11
2019-09-08,0
2019-09-15,3
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,3
2019-11-03,3
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,5
2019-12-08,6
2019-12-15,4
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,3
2020-04-12,6
2020-04-19,0
2020-04-26,0
2020-05-03,4
2020-05-10,6
2020-05-17,0
2020-05-24,0
2020-05-31,3
2020-06-07,13
2020-06-14,0
2020-06-21,6
2020-06-28,0
2020-07-05,0
2020-07-12,3
2020-07-19,4
2020-07-26,0
2020-08-02,0
2020-08-09,6
2020-08-16,7
2020-08-23,3
2020-08-30,9
2020-09-06,8
2020-09-13,19
2020-09-20,9
2020-09-27,7
2020-10-04,0
2020-10-11,13
2020-10-18,37
2020-10-25,20
2020-11-01,20
2020-11-08,17
2020-11-15,19
2020-11-22,29
2020-11-29,26
2020-12-06,9
2020-12-13,20
2020-12-20,23
2020-12-27,35
2021-01-03,86
2021-01-10,100
2021-01-17,26
2021-01-24,26
2021-01-31,29
2021-02-07,55
2021-02-14,52
2021-02-21,38
2021-02-28,31
2021-03-07,37
2021-03-14,34
2021-03-21,18
2021-03-28,34
2021-04-04,32
2021-04-11,41
2021-04-18,30
2021-04-25,28
2021-05-02,37
2021-05-09,28
2021-05-16,33
2021-05-23,24
2021-05-30,15
2021-06-06,18
2021-06-13,17
2021-06-20,18
2021-06-27,19
2021-07-04,10
2021-07-11,9
2021-07-18,9
2021-07-25,8
2021-08-01,11
2021-08-08,26
2021-08-15,11
2021-08-22,20
2021-08-29,16
2021-09-05,13
2021-09-12,18
2021-09-19,17
2021-09-26,14
2021-10-03,15
2021-10-10,23
2021-10-17,16
2021-10-24,28
2021-10-31,26
2021-11-07,33
2021-11-14,30
2021-11-21,19
2021-11-28,22
2021-12-05,12
2021-12-12,23
2021-12-19,14
2021-12-26,13
2022-01-02,28
2022-01-09,19
2022-01-16,17
2022-01-23,21
2022-01-30,21
2022-02-06,18
2022-02-13,12
2022-02-20,17
2022-02-27,18
2022-03-06,10
2022-03-13,19
2022-03-20,26
2022-03-27,16
2022-04-03,18
2022-04-10,20
2022-04-17,0
2022-04-24,18
2022-05-01,15
2022-05-08,44
2022-05-15,21
2022-05-22,20
2022-05-29,10
2022-06-05,17
2022-06-12,22
2022-06-19,17
2022-06-26,12
2022-07-03,16
2022-07-10,10
2022-07-17,16
2022-07-24,9
2022-07-31,16
2022-08-07,11
2022-08-14,11
2022-08-21,14
2022-08-28,8
2022-09-04,13
2022-09-11,9
2022-09-18,11
2022-09-25,8
2022-10-02,13
2022-10-09,8
2022-10-16,45
2022-10-23,8
2022-10-30,7
2022-11-06,20
2022-11-13,33
2022-11-20,19
2022-11-27,19
2022-12-04,11
2022-12-11,6
2022-12-18,8
2022-12-25,5
2023-01-01,12
2023-01-08,14
2023-01-15,7
2023-01-22,8
2023-01-29,6
2023-02-05,12
2023-02-12,4
2023-02-19,7
2023-02-26,14
2023-03-05,7
2023-03-12,18
2023-03-19,8
2023-03-26,8
2023-04-02,6
2023-04-09,11
2023-04-16,9
2023-04-23,7
2023-04-30,0
2023-05-07,6
2023-05-14,12
2023-05-21,5
