Category: All categories

Week,Cosmos: (Worldwide)
2019-03-17,72
2019-03-24,69
2019-03-31,75
2019-04-07,72
2019-04-14,71
2019-04-21,73
2019-04-28,73
2019-05-05,77
2019-05-12,72
2019-05-19,73
2019-05-26,74
2019-06-02,69
2019-06-09,68
2019-06-16,71
2019-06-23,73
2019-06-30,71
2019-07-07,80
2019-07-14,77
2019-07-21,73
2019-07-28,79
2019-08-04,74
2019-08-11,73
2019-08-18,71
2019-08-25,71
2019-09-01,70
2019-09-08,82
2019-09-15,77
2019-09-22,80
2019-09-29,74
2019-10-06,73
2019-10-13,74
2019-10-20,71
2019-10-27,74
2019-11-03,89
2019-11-10,80
2019-11-17,81
2019-11-24,83
2019-12-01,73
2019-12-08,71
2019-12-15,68
2019-12-22,67
2019-12-29,73
2020-01-05,72
2020-01-12,75
2020-01-19,75
2020-01-26,76
2020-02-02,72
2020-02-09,79
2020-02-16,80
2020-02-23,68
2020-03-01,75
2020-03-08,88
2020-03-15,76
2020-03-22,82
2020-03-29,87
2020-04-05,88
2020-04-12,84
2020-04-19,94
2020-04-26,91
2020-05-03,95
2020-05-10,86
2020-05-17,89
2020-05-24,91
2020-05-31,89
2020-06-07,88
2020-06-14,87
2020-06-21,79
2020-06-28,82
2020-07-05,82
2020-07-12,80
2020-07-19,81
2020-07-26,78
2020-08-02,84
2020-08-09,76
2020-08-16,75
2020-08-23,77
2020-08-30,75
2020-09-06,76
2020-09-13,72
2020-09-20,80
2020-09-27,80
2020-10-04,69
2020-10-11,67
2020-10-18,71
2020-10-25,66
2020-11-01,64
2020-11-08,66
2020-11-15,69
2020-11-22,70
2020-11-29,69
2020-12-06,68
2020-12-13,68
2020-12-20,65
2020-12-27,70
2021-01-03,66
2021-01-10,59
2021-01-17,69
2021-01-24,67
2021-01-31,70
2021-02-07,79
2021-02-14,86
2021-02-21,75
2021-02-28,73
2021-03-07,70
2021-03-14,65
2021-03-21,67
2021-03-28,75
2021-04-04,82
2021-04-11,78
2021-04-18,74
2021-04-25,84
2021-05-02,79
2021-05-09,77
2021-05-16,83
2021-05-23,78
2021-05-30,75
2021-06-06,75
2021-06-13,69
2021-06-20,68
2021-06-27,68
2021-07-04,70
2021-07-11,65
2021-07-18,71
2021-07-25,68
2021-08-01,65
2021-08-08,69
2021-08-15,72
2021-08-22,64
2021-08-29,77
2021-09-05,80
2021-09-12,77
2021-09-19,75
2021-09-26,69
2021-10-03,72
2021-10-10,69
2021-10-17,70
2021-10-24,72
2021-10-31,70
2021-11-07,74
2021-11-14,74
2021-11-21,70
2021-11-28,66
2021-12-05,63
2021-12-12,66
2021-12-19,62
2021-12-26,76
2022-01-02,90
2022-01-09,85
2022-01-16,72
2022-01-23,85
2022-01-30,80
2022-02-06,85
2022-02-13,88
2022-02-20,84
2022-02-27,93
2022-03-06,88
2022-03-13,87
2022-03-20,88
2022-03-27,90
2022-04-03,86
2022-04-10,90
2022-04-17,89
2022-04-24,92
2022-05-01,90
2022-05-08,90
2022-05-15,88
2022-05-22,85
2022-05-29,82
2022-06-05,88
2022-06-12,83
2022-06-19,83
2022-06-26,79
2022-07-03,79
2022-07-10,88
2022-07-17,82
2022-07-24,85
2022-07-31,88
2022-08-07,79
2022-08-14,80
2022-08-21,88
2022-08-28,83
2022-09-04,81
2022-09-11,83
2022-09-18,83
2022-09-25,84
2022-10-02,81
2022-10-09,88
2022-10-16,84
2022-10-23,82
2022-10-30,83
2022-11-06,80
2022-11-13,85
2022-11-20,79
2022-11-27,81
2022-12-04,76
2022-12-11,80
2022-12-18,77
2022-12-25,100
2023-01-01,92
2023-01-08,85
2023-01-15,85
2023-01-22,86
2023-01-29,89
2023-02-05,86
2023-02-12,82
2023-02-19,85
2023-02-26,83
2023-03-05,84
2023-03-12,87
2023-03-19,88
2023-03-26,87
2023-04-02,87
2023-04-09,86
2023-04-16,89
2023-04-23,86
2023-04-30,85
2023-05-07,89
2023-05-14,84
2023-05-21,84
