Category: All categories

Week,Uniswap: (Worldwide)
2020-09-20,24
2020-09-27,14
2020-10-04,13
2020-10-11,9
2020-10-18,8
2020-10-25,9
2020-11-01,7
2020-11-08,8
2020-11-15,10
2020-11-22,8
2020-11-29,7
2020-12-06,7
2020-12-13,9
2020-12-20,9
2020-12-27,13
2021-01-03,13
2021-01-10,13
2021-01-17,15
2021-01-24,27
2021-01-31,35
2021-02-07,34
2021-02-14,36
2021-02-21,26
2021-02-28,22
2021-03-07,31
2021-03-14,34
2021-03-21,38
2021-03-28,41
2021-04-04,31
2021-04-11,35
2021-04-18,38
2021-04-25,38
2021-05-02,56
2021-05-09,100
2021-05-16,47
2021-05-23,32
2021-05-30,29
2021-06-06,25
2021-06-13,22
2021-06-20,16
2021-06-27,19
2021-07-04,22
2021-07-11,20
2021-07-18,16
2021-07-25,19
2021-08-01,20
2021-08-08,22
2021-08-15,20
2021-08-22,21
2021-08-29,23
2021-09-05,23
2021-09-12,20
2021-09-19,16
2021-09-26,20
2021-10-03,25
2021-10-10,31
2021-10-17,33
2021-10-24,57
2021-10-31,52
2021-11-07,49
2021-11-14,43
2021-11-21,35
2021-11-28,29
2021-12-05,24
2021-12-12,23
2021-12-19,27
2021-12-26,27
2022-01-02,31
2022-01-09,25
2022-01-16,21
2022-01-23,20
2022-01-30,18
2022-02-06,20
2022-02-13,18
2022-02-20,14
2022-02-27,15
2022-03-06,14
2022-03-13,15
2022-03-20,15
2022-03-27,17
2022-04-03,16
2022-04-10,15
2022-04-17,15
2022-04-24,14
2022-05-01,14
2022-05-08,14
2022-05-15,10
2022-05-22,10
2022-05-29,10
2022-06-05,10
2022-06-12,9
2022-06-19,10
2022-06-26,9
2022-07-03,9
2022-07-10,10
2022-07-17,10
2022-07-24,10
2022-07-31,9
2022-08-07,10
2022-08-14,9
2022-08-21,9
2022-08-28,8
2022-09-04,8
2022-09-11,8
2022-09-18,8
2022-09-25,8
2022-10-02,8
2022-10-09,9
2022-10-16,10
2022-10-23,10
2022-10-30,9
2022-11-06,10
2022-11-13,11
2022-11-20,8
2022-11-27,9
2022-12-04,8
2022-12-11,9
2022-12-18,8
2022-12-25,7
2023-01-01,8
2023-01-08,8
2023-01-15,9
2023-01-22,9
2023-01-29,10
2023-02-05,11
2023-02-12,11
2023-02-19,11
2023-02-26,10
2023-03-05,10
2023-03-12,9
2023-03-19,13
2023-03-26,11
2023-04-02,12
2023-04-09,11
2023-04-16,18
2023-04-23,13
2023-04-30,25
2023-05-07,22
2023-05-14,16
2023-05-21,14
