Category: All categories

Week,Monero: (Worldwide)
2018-05-27,52
2018-06-03,52
2018-06-10,43
2018-06-17,42
2018-06-24,44
2018-07-01,38
2018-07-08,39
2018-07-15,42
2018-07-22,41
2018-07-29,40
2018-08-05,37
2018-08-12,37
2018-08-19,37
2018-08-26,46
2018-09-02,56
2018-09-09,43
2018-09-16,36
2018-09-23,40
2018-09-30,35
2018-10-07,35
2018-10-14,44
2018-10-21,41
2018-10-28,32
2018-11-04,34
2018-11-11,32
2018-11-18,31
2018-11-25,35
2018-12-02,31
2018-12-09,27
2018-12-16,26
2018-12-23,29
2018-12-30,32
2019-01-06,47
2019-01-13,28
2019-01-20,24
2019-01-27,24
2019-02-03,24
2019-02-10,23
2019-02-17,26
2019-02-24,26
2019-03-03,30
2019-03-10,32
2019-03-17,26
2019-03-24,22
2019-03-31,26
2019-04-07,25
2019-04-14,23
2019-04-21,21
2019-04-28,24
2019-05-05,23
2019-05-12,30
2019-05-19,27
2019-05-26,31
2019-06-02,29
2019-06-09,26
2019-06-16,32
2019-06-23,42
2019-06-30,31
2019-07-07,29
2019-07-14,28
2019-07-21,22
2019-07-28,23
2019-08-04,29
2019-08-11,26
2019-08-18,23
2019-08-25,25
2019-09-01,24
2019-09-08,23
2019-09-15,22
2019-09-22,25
2019-09-29,21
2019-10-06,22
2019-10-13,26
2019-10-20,23
2019-10-27,25
2019-11-03,28
2019-11-10,27
2019-11-17,26
2019-11-24,30
2019-12-01,29
2019-12-08,23
2019-12-15,26
2019-12-22,24
2019-12-29,25
2020-01-05,28
2020-01-12,26
2020-01-19,26
2020-01-26,24
2020-02-02,28
2020-02-09,30
2020-02-16,28
2020-02-23,23
2020-03-01,24
2020-03-08,25
2020-03-15,23
2020-03-22,24
2020-03-29,31
2020-04-05,32
2020-04-12,28
2020-04-19,28
2020-04-26,29
2020-05-03,31
2020-05-10,32
2020-05-17,33
2020-05-24,28
2020-05-31,26
2020-06-07,25
2020-06-14,24
2020-06-21,26
2020-06-28,20
2020-07-05,22
2020-07-12,24
2020-07-19,23
2020-07-26,28
2020-08-02,28
2020-08-09,25
2020-08-16,27
2020-08-23,30
2020-08-30,28
2020-09-06,35
2020-09-13,31
2020-09-20,25
2020-09-27,28
2020-10-04,30
2020-10-11,30
2020-10-18,34
2020-10-25,28
2020-11-01,29
2020-11-08,29
2020-11-15,32
2020-11-22,34
2020-11-29,31
2020-12-06,36
2020-12-13,54
2020-12-20,43
2020-12-27,66
2021-01-03,76
2021-01-10,66
2021-01-17,53
2021-01-24,50
2021-01-31,57
2021-02-07,76
2021-02-14,90
2021-02-21,78
2021-02-28,63
2021-03-07,61
2021-03-14,62
2021-03-21,53
2021-03-28,65
2021-04-04,68
2021-04-11,91
2021-04-18,99
2021-04-25,82
2021-05-02,94
2021-05-09,100
2021-05-16,96
2021-05-23,68
2021-05-30,61
2021-06-06,50
2021-06-13,51
2021-06-20,55
2021-06-27,53
2021-07-04,47
2021-07-11,37
2021-07-18,34
2021-07-25,41
2021-08-01,41
2021-08-08,39
2021-08-15,42
2021-08-22,49
2021-08-29,45
2021-09-05,41
2021-09-12,39
2021-09-19,42
2021-09-26,35
2021-10-03,40
2021-10-10,43
2021-10-17,43
2021-10-24,46
2021-10-31,43
2021-11-07,54
2021-11-14,57
2021-11-21,53
2021-11-28,44
2021-12-05,46
2021-12-12,43
2021-12-19,41
2021-12-26,47
2022-01-02,56
2022-01-09,53
2022-01-16,54
2022-01-23,51
2022-01-30,50
2022-02-06,51
2022-02-13,53
2022-02-20,48
2022-02-27,52
2022-03-06,54
2022-03-13,49
2022-03-20,47
2022-03-27,48
2022-04-03,49
2022-04-10,54
2022-04-17,59
2022-04-24,51
2022-05-01,45
2022-05-08,54
2022-05-15,45
2022-05-22,43
2022-05-29,38
2022-06-05,37
2022-06-12,43
2022-06-19,46
2022-06-26,37
2022-07-03,37
2022-07-10,35
2022-07-17,35
2022-07-24,36
2022-07-31,33
2022-08-07,40
2022-08-14,47
2022-08-21,36
2022-08-28,33
2022-09-04,31
2022-09-11,37
2022-09-18,36
2022-09-25,33
2022-10-02,30
2022-10-09,31
2022-10-16,27
2022-10-23,28
2022-10-30,26
2022-11-06,33
2022-11-13,36
2022-11-20,30
2022-11-27,32
2022-12-04,28
2022-12-11,28
2022-12-18,30
2022-12-25,25
2023-01-01,29
2023-01-08,28
2023-01-15,29
2023-01-22,28
2023-01-29,31
2023-02-05,26
2023-02-12,28
2023-02-19,27
2023-02-26,24
2023-03-05,24
2023-03-12,28
2023-03-19,27
2023-03-26,35
2023-04-02,27
2023-04-09,31
2023-04-16,32
2023-04-23,24
2023-04-30,26
2023-05-07,26
2023-05-14,25
2023-05-21,25
