Category: All categories

Week,Ethereum: (Worldwide)
2018-05-27,6
2018-06-03,5
2018-06-10,6
2018-06-17,5
2018-06-24,5
2018-07-01,5
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,5
2018-08-05,6
2018-08-12,6
2018-08-19,5
2018-08-26,5
2018-09-02,6
2018-09-09,7
2018-09-16,5
2018-09-23,4
2018-09-30,4
2018-10-07,4
2018-10-14,4
2018-10-21,3
2018-10-28,4
2018-11-04,4
2018-11-11,4
2018-11-18,5
2018-11-25,4
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,5
2018-12-30,5
2019-01-06,5
2019-01-13,4
2019-01-20,3
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,4
2019-02-24,4
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,4
2019-04-07,4
2019-04-14,3
2019-04-21,3
2019-04-28,3
2019-05-05,4
2019-05-12,7
2019-05-19,5
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,5
2019-06-23,7
2019-06-30,6
2019-07-07,11
2019-07-14,14
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,4
2019-09-22,3
2019-09-29,3
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,3
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,2
2019-12-15,3
2019-12-22,3
2019-12-29,3
2020-01-05,3
2020-01-12,3
2020-01-19,3
2020-01-26,4
2020-02-02,5
2020-02-09,7
2020-02-16,6
2020-02-23,5
2020-03-01,4
2020-03-08,5
2020-03-15,5
2020-03-22,4
2020-03-29,4
2020-04-05,4
2020-04-12,4
2020-04-19,5
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,6
2020-05-24,5
2020-05-31,6
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,5
2020-07-19,8
2020-07-26,14
2020-08-02,14
2020-08-09,11
2020-08-16,10
2020-08-23,7
2020-08-30,11
2020-09-06,8
2020-09-13,6
2020-09-20,6
2020-09-27,5
2020-10-04,5
2020-10-11,4
2020-10-18,6
2020-10-25,6
2020-11-01,7
2020-11-08,8
2020-11-15,11
2020-11-22,18
2020-11-29,13
2020-12-06,9
2020-12-13,12
2020-12-20,14
2020-12-27,24
2021-01-03,59
2021-01-10,48
2021-01-17,39
2021-01-24,38
2021-01-31,47
2021-02-07,54
2021-02-14,49
2021-02-21,51
2021-02-28,36
2021-03-07,38
2021-03-14,33
2021-03-21,28
2021-03-28,36
2021-04-04,37
2021-04-11,49
2021-04-18,49
2021-04-25,50
2021-05-02,95
2021-05-09,100
2021-05-16,91
2021-05-23,72
2021-05-30,52
2021-06-06,41
2021-06-13,33
2021-06-20,41
2021-06-27,33
2021-07-04,30
2021-07-11,26
2021-07-18,29
2021-07-25,32
2021-08-01,46
2021-08-08,48
2021-08-15,39
2021-08-22,34
2021-08-29,44
2021-09-05,40
2021-09-12,29
2021-09-19,33
2021-09-26,27
2021-10-03,30
2021-10-10,37
2021-10-17,41
2021-10-24,39
2021-10-31,44
2021-11-07,46
2021-11-14,43
2021-11-21,38
2021-11-28,40
2021-12-05,38
2021-12-12,38
2021-12-19,31
2021-12-26,31
2022-01-02,39
2022-01-09,39
2022-01-16,38
2022-01-23,45
2022-01-30,38
2022-02-06,35
2022-02-13,30
2022-02-20,32
2022-02-27,29
2022-03-06,25
2022-03-13,24
2022-03-20,27
2022-03-27,28
2022-04-03,24
2022-04-10,22
2022-04-17,21
2022-04-24,20
2022-05-01,20
2022-05-08,35
2022-05-15,24
2022-05-22,22
2022-05-29,20
2022-06-05,20
2022-06-12,47
2022-06-19,33
2022-06-26,25
2022-07-03,21
2022-07-10,20
2022-07-17,29
2022-07-24,25
2022-07-31,22
2022-08-07,27
2022-08-14,24
2022-08-21,21
2022-08-28,21
2022-09-04,22
2022-09-11,43
2022-09-18,26
2022-09-25,18
2022-10-02,15
2022-10-09,14
2022-10-16,12
2022-10-23,16
2022-10-30,16
2022-11-06,23
2022-11-13,19
2022-11-20,15
2022-11-27,13
2022-12-04,11
2022-12-11,13
2022-12-18,12
2022-12-25,11
2023-01-01,12
2023-01-08,15
2023-01-15,17
2023-01-22,14
2023-01-29,14
2023-02-05,12
2023-02-12,13
2023-02-19,12
2023-02-26,11
2023-03-05,11
2023-03-12,15
2023-03-19,16
2023-03-26,13
2023-04-02,13
2023-04-09,19
2023-04-16,16
2023-04-23,12
2023-04-30,11
2023-05-07,11
2023-05-14,10
2023-05-21,8
