Category: All categories

Week,OKB: (Worldwide)
2019-05-05,37
2019-05-12,55
2019-05-19,46
2019-05-26,49
2019-06-02,40
2019-06-09,43
2019-06-16,44
2019-06-23,47
2019-06-30,49
2019-07-07,42
2019-07-14,49
2019-07-21,46
2019-07-28,44
2019-08-04,41
2019-08-11,43
2019-08-18,53
2019-08-25,41
2019-09-01,41
2019-09-08,40
2019-09-15,51
2019-09-22,57
2019-09-29,52
2019-10-06,48
2019-10-13,45
2019-10-20,49
2019-10-27,43
2019-11-03,47
2019-11-10,38
2019-11-17,50
2019-11-24,50
2019-12-01,54
2019-12-08,50
2019-12-15,52
2019-12-22,50
2019-12-29,46
2020-01-05,46
2020-01-12,47
2020-01-19,43
2020-01-26,44
2020-02-02,52
2020-02-09,55
2020-02-16,52
2020-02-23,43
2020-03-01,46
2020-03-08,50
2020-03-15,51
2020-03-22,56
2020-03-29,42
2020-04-05,45
2020-04-12,48
2020-04-19,57
2020-04-26,48
2020-05-03,48
2020-05-10,50
2020-05-17,54
2020-05-24,64
2020-05-31,51
2020-06-07,56
2020-06-14,51
2020-06-21,47
2020-06-28,59
2020-07-05,46
2020-07-12,50
2020-07-19,35
2020-07-26,46
2020-08-02,40
2020-08-09,38
2020-08-16,38
2020-08-23,49
2020-08-30,41
2020-09-06,47
2020-09-13,51
2020-09-20,56
2020-09-27,52
2020-10-04,52
2020-10-11,51
2020-10-18,50
2020-10-25,51
2020-11-01,47
2020-11-08,54
2020-11-15,53
2020-11-22,41
2020-11-29,43
2020-12-06,49
2020-12-13,54
2020-12-20,45
2020-12-27,53
2021-01-03,59
2021-01-10,44
2021-01-17,61
2021-01-24,53
2021-01-31,60
2021-02-07,49
2021-02-14,60
2021-02-21,56
2021-02-28,50
2021-03-07,57
2021-03-14,55
2021-03-21,55
2021-03-28,59
2021-04-04,55
2021-04-11,64
2021-04-18,70
2021-04-25,79
2021-05-02,100
2021-05-09,65
2021-05-16,67
2021-05-23,64
2021-05-30,58
2021-06-06,62
2021-06-13,52
2021-06-20,51
2021-06-27,57
2021-07-04,46
2021-07-11,54
2021-07-18,44
2021-07-25,54
2021-08-01,50
2021-08-08,50
2021-08-15,41
2021-08-22,52
2021-08-29,58
2021-09-05,47
2021-09-12,44
2021-09-19,57
2021-09-26,49
2021-10-03,53
2021-10-10,55
2021-10-17,64
2021-10-24,57
2021-10-31,51
2021-11-07,62
2021-11-14,57
2021-11-21,56
2021-11-28,50
2021-12-05,48
2021-12-12,55
2021-12-19,62
2021-12-26,61
2022-01-02,60
2022-01-09,52
2022-01-16,64
2022-01-23,49
2022-01-30,54
2022-02-06,53
2022-02-13,54
2022-02-20,56
2022-02-27,67
2022-03-06,55
2022-03-13,58
2022-03-20,59
2022-03-27,58
2022-04-03,58
2022-04-10,65
2022-04-17,57
2022-04-24,53
2022-05-01,56
2022-05-08,55
2022-05-15,52
2022-05-22,54
2022-05-29,57
2022-06-05,59
2022-06-12,56
2022-06-19,50
2022-06-26,58
2022-07-03,58
2022-07-10,50
2022-07-17,57
2022-07-24,62
2022-07-31,59
2022-08-07,78
2022-08-14,67
2022-08-21,53
2022-08-28,57
2022-09-04,50
2022-09-11,54
2022-09-18,66
2022-09-25,51
2022-10-02,50
2022-10-09,51
2022-10-16,46
2022-10-23,57
2022-10-30,62
2022-11-06,57
2022-11-13,61
2022-11-20,56
2022-11-27,60
2022-12-04,64
2022-12-11,58
2022-12-18,60
2022-12-25,73
2023-01-01,64
2023-01-08,57
2023-01-15,60
2023-01-22,63
2023-01-29,67
2023-02-05,51
2023-02-12,62
2023-02-19,58
2023-02-26,61
2023-03-05,55
2023-03-12,54
2023-03-19,61
2023-03-26,62
2023-04-02,61
2023-04-09,80
2023-04-16,84
2023-04-23,63
2023-04-30,60
2023-05-07,56
2023-05-14,60
2023-05-21,65
