Category: All categories

Week,Ethereum Classic: (Worldwide)
2018-05-27,1
2018-06-03,1
2018-06-10,5
2018-06-17,2
2018-06-24,2
2018-07-01,2
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,2
2018-08-05,7
2018-08-12,8
2018-08-19,4
2018-08-26,3
2018-09-02,3
2018-09-09,2
2018-09-16,2
2018-09-23,1
2018-09-30,1
2018-10-07,1
2018-10-14,1
2018-10-21,1
2018-10-28,1
2018-11-04,2
2018-11-11,1
2018-11-18,1
2018-11-25,1
2018-12-02,2
2018-12-09,1
2018-12-16,1
2018-12-23,1
2018-12-30,2
2019-01-06,3
2019-01-13,1
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,1
2019-02-17,1
2019-02-24,1
2019-03-03,1
2019-03-10,1
2019-03-17,1
2019-03-24,1
2019-03-31,1
2019-04-07,3
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,1
2019-05-12,2
2019-05-19,1
2019-05-26,1
2019-06-02,2
2019-06-09,1
2019-06-16,1
2019-06-23,2
2019-06-30,1
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,2
2019-08-25,1
2019-09-01,1
2019-09-08,1
2019-09-15,1
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,<1
2019-10-20,1
2019-10-27,1
2019-11-03,1
2019-11-10,<1
2019-11-17,1
2019-11-24,<1
2019-12-01,<1
2019-12-08,1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,3
2020-01-19,2
2020-01-26,3
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,1
2020-04-05,1
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,2
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,2
2020-11-22,2
2020-11-29,2
2020-12-06,1
2020-12-13,1
2020-12-20,2
2020-12-27,2
2021-01-03,5
2021-01-10,6
2021-01-17,3
2021-01-24,4
2021-01-31,5
2021-02-07,9
2021-02-14,9
2021-02-21,4
2021-02-28,3
2021-03-07,3
2021-03-14,3
2021-03-21,2
2021-03-28,3
2021-04-04,7
2021-04-11,16
2021-04-18,10
2021-04-25,8
2021-05-02,100
2021-05-09,43
2021-05-16,19
2021-05-23,13
2021-05-30,8
2021-06-06,7
2021-06-13,5
2021-06-20,6
2021-06-27,7
2021-07-04,4
2021-07-11,4
2021-07-18,4
2021-07-25,4
2021-08-01,5
2021-08-08,6
2021-08-15,6
2021-08-22,4
2021-08-29,5
2021-09-05,4
2021-09-12,3
2021-09-19,3
2021-09-26,3
2021-10-03,3
2021-10-10,3
2021-10-17,4
2021-10-24,4
2021-10-31,4
2021-11-07,5
2021-11-14,3
2021-11-21,3
2021-11-28,2
2021-12-05,3
2021-12-12,2
2021-12-19,2
2021-12-26,2
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,3
2022-01-30,2
2022-02-06,3
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,7
2022-03-27,4
2022-04-03,3
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,3
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,3
2022-07-24,5
2022-07-31,4
2022-08-07,3
2022-08-14,3
2022-08-21,2
2022-08-28,2
2022-09-04,5
2022-09-11,6
2022-09-18,4
2022-09-25,3
2022-10-02,2
2022-10-09,2
2022-10-16,1
2022-10-23,2
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,1
2022-12-25,1
2023-01-01,2
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
