Category: All categories

Week,Toncoin: (Worldwide)
2021-08-29,0
2021-09-05,1
2021-09-12,1
2021-09-19,0
2021-09-26,1
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,1
2021-10-31,0
2021-11-07,16
2021-11-14,11
2021-11-21,10
2021-11-28,4
2021-12-05,8
2021-12-12,14
2021-12-19,35
2021-12-26,40
2022-01-02,75
2022-01-09,100
2022-01-16,68
2022-01-23,40
2022-01-30,39
2022-02-06,69
2022-02-13,55
2022-02-20,43
2022-02-27,32
2022-03-06,29
2022-03-13,23
2022-03-20,21
2022-03-27,25
2022-04-03,19
2022-04-10,20
2022-04-17,30
2022-04-24,30
2022-05-01,21
2022-05-08,19
2022-05-15,14
2022-05-22,12
2022-05-29,14
2022-06-05,8
2022-06-12,12
2022-06-19,13
2022-06-26,11
2022-07-03,5
2022-07-10,4
2022-07-17,3
2022-07-24,5
2022-07-31,4
2022-08-07,8
2022-08-14,5
2022-08-21,7
2022-08-28,5
2022-09-04,9
2022-09-11,7
2022-09-18,4
2022-09-25,3
2022-10-02,5
2022-10-09,3
2022-10-16,7
2022-10-23,12
2022-10-30,7
2022-11-06,9
2022-11-13,8
2022-11-20,5
2022-11-27,5
2022-12-04,8
2022-12-11,21
2022-12-18,12
2022-12-25,10
2023-01-01,6
2023-01-08,6
2023-01-15,8
2023-01-22,6
2023-01-29,5
2023-02-05,4
2023-02-12,6
2023-02-19,6
2023-02-26,2
2023-03-05,2
2023-03-12,4
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,2
2023-04-16,4
2023-04-23,4
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,4
