Category: All categories

Week,Stellar: (Worldwide)
2018-05-27,40
2018-06-03,38
2018-06-10,37
2018-06-17,37
2018-06-24,35
2018-07-01,35
2018-07-08,37
2018-07-15,49
2018-07-22,45
2018-07-29,39
2018-08-05,37
2018-08-12,40
2018-08-19,35
2018-08-26,36
2018-09-02,38
2018-09-09,40
2018-09-16,39
2018-09-23,41
2018-09-30,38
2018-10-07,38
2018-10-14,37
2018-10-21,36
2018-10-28,36
2018-11-04,44
2018-11-11,44
2018-11-18,40
2018-11-25,42
2018-12-02,41
2018-12-09,41
2018-12-16,42
2018-12-23,34
2018-12-30,36
2019-01-06,39
2019-01-13,37
2019-01-20,36
2019-01-27,38
2019-02-03,39
2019-02-10,38
2019-02-17,41
2019-02-24,35
2019-03-03,40
2019-03-10,42
2019-03-17,43
2019-03-24,44
2019-03-31,44
2019-04-07,41
2019-04-14,39
2019-04-21,46
2019-04-28,42
2019-05-05,41
2019-05-12,47
2019-05-19,43
2019-05-26,44
2019-06-02,39
2019-06-09,41
2019-06-16,42
2019-06-23,42
2019-06-30,38
2019-07-07,39
2019-07-14,38
2019-07-21,36
2019-07-28,36
2019-08-04,38
2019-08-11,35
2019-08-18,35
2019-08-25,36
2019-09-01,37
2019-09-08,43
2019-09-15,43
2019-09-22,38
2019-09-29,38
2019-10-06,39
2019-10-13,42
2019-10-20,41
2019-10-27,41
2019-11-03,45
2019-11-10,42
2019-11-17,43
2019-11-24,37
2019-12-01,38
2019-12-08,37
2019-12-15,37
2019-12-22,33
2019-12-29,38
2020-01-05,37
2020-01-12,39
2020-01-19,37
2020-01-26,36
2020-02-02,41
2020-02-09,41
2020-02-16,41
2020-02-23,42
2020-03-01,38
2020-03-08,35
2020-03-15,36
2020-03-22,32
2020-03-29,31
2020-04-05,38
2020-04-12,35
2020-04-19,38
2020-04-26,41
2020-05-03,41
2020-05-10,39
2020-05-17,39
2020-05-24,38
2020-05-31,39
2020-06-07,40
2020-06-14,40
2020-06-21,39
2020-06-28,36
2020-07-05,42
2020-07-12,44
2020-07-19,41
2020-07-26,46
2020-08-02,42
2020-08-09,42
2020-08-16,43
2020-08-23,46
2020-08-30,42
2020-09-06,42
2020-09-13,39
2020-09-20,39
2020-09-27,40
2020-10-04,43
2020-10-11,42
2020-10-18,38
2020-10-25,52
2020-11-01,42
2020-11-08,41
2020-11-15,45
2020-11-22,62
2020-11-29,49
2020-12-06,46
2020-12-13,45
2020-12-20,46
2020-12-27,52
2021-01-03,100
2021-01-10,65
2021-01-17,57
2021-01-24,60
2021-01-31,66
2021-02-07,80
2021-02-14,76
2021-02-21,67
2021-02-28,61
2021-03-07,52
2021-03-14,53
2021-03-21,54
2021-03-28,56
2021-04-04,62
2021-04-11,83
2021-04-18,65
2021-04-25,59
2021-05-02,71
2021-05-09,83
2021-05-16,69
2021-05-23,58
2021-05-30,53
2021-06-06,47
2021-06-13,45
2021-06-20,43
2021-06-27,40
2021-07-04,44
2021-07-11,42
2021-07-18,45
2021-07-25,44
2021-08-01,50
2021-08-08,48
2021-08-15,49
2021-08-22,47
2021-08-29,47
2021-09-05,50
2021-09-12,45
2021-09-19,43
2021-09-26,41
2021-10-03,49
2021-10-10,49
2021-10-17,48
2021-10-24,50
2021-10-31,54
2021-11-07,56
2021-11-14,48
2021-11-21,49
2021-11-28,48
2021-12-05,47
2021-12-12,45
2021-12-19,46
2021-12-26,50
2022-01-02,49
2022-01-09,49
2022-01-16,46
2022-01-23,47
2022-01-30,46
2022-02-06,52
2022-02-13,46
2022-02-20,46
2022-02-27,47
2022-03-06,44
2022-03-13,48
2022-03-20,48
2022-03-27,47
2022-04-03,52
2022-04-10,45
2022-04-17,46
2022-04-24,44
2022-05-01,44
2022-05-08,46
2022-05-15,43
2022-05-22,43
2022-05-29,44
2022-06-05,42
2022-06-12,41
2022-06-19,40
2022-06-26,40
2022-07-03,42
2022-07-10,43
2022-07-17,46
2022-07-24,40
2022-07-31,41
2022-08-07,47
2022-08-14,41
2022-08-21,46
2022-08-28,41
2022-09-04,38
2022-09-11,48
2022-09-18,45
2022-09-25,42
2022-10-02,42
2022-10-09,51
2022-10-16,42
2022-10-23,42
2022-10-30,43
2022-11-06,49
2022-11-13,41
2022-11-20,40
2022-11-27,42
2022-12-04,39
2022-12-11,43
2022-12-18,40
2022-12-25,43
2023-01-01,46
2023-01-08,44
2023-01-15,46
2023-01-22,46
2023-01-29,45
2023-02-05,46
2023-02-12,49
2023-02-19,49
2023-02-26,46
2023-03-05,43
2023-03-12,45
2023-03-19,43
2023-03-26,47
2023-04-02,44
2023-04-09,47
2023-04-16,45
2023-04-23,47
2023-04-30,48
2023-05-07,49
2023-05-14,47
2023-05-21,49
