Category: All categories

Week,Lido DAO: (Worldwide)
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,12
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,6
2021-05-02,0
2021-05-09,10
2021-05-16,0
2021-05-23,23
2021-05-30,0
2021-06-06,0
2021-06-13,17
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,9
2021-08-15,0
2021-08-22,21
2021-08-29,10
2021-09-05,0
2021-09-12,13
2021-09-19,7
2021-09-26,0
2021-10-03,8
2021-10-10,14
2021-10-17,11
2021-10-24,0
2021-10-31,18
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,10
2022-01-02,0
2022-01-09,9
2022-01-16,9
2022-01-23,0
2022-01-30,0
2022-02-06,25
2022-02-13,9
2022-02-20,10
2022-02-27,18
2022-03-06,0
2022-03-13,20
2022-03-20,0
2022-03-27,8
2022-04-03,22
2022-04-10,7
2022-04-17,11
2022-04-24,15
2022-05-01,18
2022-05-08,100
2022-05-15,25
2022-05-22,9
2022-05-29,16
2022-06-05,15
2022-06-12,19
2022-06-19,29
2022-06-26,9
2022-07-03,6
2022-07-10,23
2022-07-17,37
2022-07-24,33
2022-07-31,29
2022-08-07,54
2022-08-14,22
2022-08-21,30
2022-08-28,28
2022-09-04,43
2022-09-11,32
2022-09-18,11
2022-09-25,5
2022-10-02,9
2022-10-09,36
2022-10-16,15
2022-10-23,21
2022-10-30,0
2022-11-06,0
2022-11-13,22
2022-11-20,5
2022-11-27,14
2022-12-04,0
2022-12-11,9
2022-12-18,9
2022-12-25,29
2023-01-01,35
2023-01-08,44
2023-01-15,32
2023-01-22,0
2023-01-29,24
2023-02-05,37
2023-02-12,47
2023-02-19,21
2023-02-26,43
2023-03-05,35
2023-03-12,14
2023-03-19,15
2023-03-26,32
2023-04-02,16
2023-04-09,16
2023-04-16,11
2023-04-23,10
2023-04-30,7
2023-05-07,15
2023-05-14,26
2023-05-21,16
