Category: All categories

Week,Hedera: (Worldwide)
2021-09-19,84
2021-09-26,70
2021-10-03,71
2021-10-10,74
2021-10-17,74
2021-10-24,70
2021-10-31,74
2021-11-07,82
2021-11-14,74
2021-11-21,71
2021-11-28,68
2021-12-05,63
2021-12-12,70
2021-12-19,71
2021-12-26,84
2022-01-02,92
2022-01-09,88
2022-01-16,83
2022-01-23,92
2022-01-30,87
2022-02-06,75
2022-02-13,82
2022-02-20,86
2022-02-27,78
2022-03-06,86
2022-03-13,89
2022-03-20,100
2022-03-27,95
2022-04-03,93
2022-04-10,92
2022-04-17,91
2022-04-24,87
2022-05-01,91
2022-05-08,90
2022-05-15,98
2022-05-22,93
2022-05-29,87
2022-06-05,88
2022-06-12,81
2022-06-19,91
2022-06-26,81
2022-07-03,95
2022-07-10,78
2022-07-17,75
2022-07-24,73
2022-07-31,63
2022-08-07,71
2022-08-14,70
2022-08-21,71
2022-08-28,76
2022-09-04,66
2022-09-11,67
2022-09-18,75
2022-09-25,71
2022-10-02,67
2022-10-09,69
2022-10-16,68
2022-10-23,74
2022-10-30,68
2022-11-06,74
2022-11-13,72
2022-11-20,67
2022-11-27,55
2022-12-04,57
2022-12-11,59
2022-12-18,63
2022-12-25,60
2023-01-01,58
2023-01-08,55
2023-01-15,66
2023-01-22,60
2023-01-29,61
2023-02-05,71
2023-02-12,74
2023-02-19,73
2023-02-26,73
2023-03-05,73
2023-03-12,72
2023-03-19,79
2023-03-26,94
2023-04-02,85
2023-04-09,89
2023-04-16,86
2023-04-23,90
2023-04-30,86
2023-05-07,89
2023-05-14,95
2023-05-21,93
