Category: All categories

Week,BNB: (Worldwide)
2018-05-27,57
2018-06-03,57
2018-06-10,56
2018-06-17,59
2018-06-24,59
2018-07-01,62
2018-07-08,63
2018-07-15,65
2018-07-22,67
2018-07-29,62
2018-08-05,62
2018-08-12,60
2018-08-19,59
2018-08-26,55
2018-09-02,53
2018-09-09,53
2018-09-16,52
2018-09-23,53
2018-09-30,48
2018-10-07,49
2018-10-14,50
2018-10-21,46
2018-10-28,44
2018-11-04,45
2018-11-11,44
2018-11-18,43
2018-11-25,46
2018-12-02,44
2018-12-09,43
2018-12-16,40
2018-12-23,48
2018-12-30,54
2019-01-06,58
2019-01-13,59
2019-01-20,56
2019-01-27,55
2019-02-03,54
2019-02-10,54
2019-02-17,57
2019-02-24,53
2019-03-03,56
2019-03-10,53
2019-03-17,57
2019-03-24,52
2019-03-31,56
2019-04-07,53
2019-04-14,59
2019-04-21,58
2019-04-28,57
2019-05-05,58
2019-05-12,65
2019-05-19,57
2019-05-26,62
2019-06-02,64
2019-06-09,63
2019-06-16,66
2019-06-23,68
2019-06-30,63
2019-07-07,69
2019-07-14,69
2019-07-21,65
2019-07-28,68
2019-08-04,64
2019-08-11,65
2019-08-18,63
2019-08-25,57
2019-09-01,56
2019-09-08,54
2019-09-15,53
2019-09-22,52
2019-09-29,51
2019-10-06,50
2019-10-13,51
2019-10-20,50
2019-10-27,46
2019-11-03,49
2019-11-10,46
2019-11-17,45
2019-11-24,41
2019-12-01,44
2019-12-08,43
2019-12-15,43
2019-12-22,48
2019-12-29,59
2020-01-05,61
2020-01-12,61
2020-01-19,57
2020-01-26,58
2020-02-02,58
2020-02-09,58
2020-02-16,58
2020-02-23,53
2020-03-01,50
2020-03-08,47
2020-03-15,30
2020-03-22,19
2020-03-29,19
2020-04-05,18
2020-04-12,20
2020-04-19,18
2020-04-26,25
2020-05-03,28
2020-05-10,33
2020-05-17,40
2020-05-24,42
2020-05-31,45
2020-06-07,53
2020-06-14,54
2020-06-21,60
2020-06-28,60
2020-07-05,64
2020-07-12,63
2020-07-19,61
2020-07-26,64
2020-08-02,58
2020-08-09,56
2020-08-16,54
2020-08-23,48
2020-08-30,47
2020-09-06,45
2020-09-13,43
2020-09-20,40
2020-09-27,42
2020-10-04,36
2020-10-11,35
2020-10-18,35
2020-10-25,32
2020-11-01,27
2020-11-08,30
2020-11-15,31
2020-11-22,29
2020-11-29,34
2020-12-06,39
2020-12-13,33
2020-12-20,34
2020-12-27,42
2021-01-03,39
2021-01-10,39
2021-01-17,41
2021-01-24,38
2021-01-31,45
2021-02-07,55
2021-02-14,68
2021-02-21,67
2021-02-28,57
2021-03-07,58
2021-03-14,55
2021-03-21,56
2021-03-28,66
2021-04-04,75
2021-04-11,94
2021-04-18,100
2021-04-25,79
2021-05-02,87
2021-05-09,94
2021-05-16,82
2021-05-23,75
2021-05-30,75
2021-06-06,73
2021-06-13,68
2021-06-20,66
2021-06-27,66
2021-07-04,68
2021-07-11,74
2021-07-18,74
2021-07-25,71
2021-08-01,71
2021-08-08,74
2021-08-15,71
2021-08-22,71
2021-08-29,63
2021-09-05,64
2021-09-12,61
2021-09-19,63
2021-09-26,57
2021-10-03,62
2021-10-10,63
2021-10-17,62
2021-10-24,70
2021-10-31,76
2021-11-07,73
2021-11-14,68
2021-11-21,66
2021-11-28,69
2021-12-05,66
2021-12-12,64
2021-12-19,59
2021-12-26,71
2022-01-02,89
2022-01-09,87
2022-01-16,80
2022-01-23,82
2022-01-30,80
2022-02-06,83
2022-02-13,78
2022-02-20,73
2022-02-27,71
2022-03-06,74
2022-03-13,67
2022-03-20,65
2022-03-27,59
2022-04-03,64
2022-04-10,60
2022-04-17,63
2022-04-24,61
2022-05-01,63
2022-05-08,68
2022-05-15,59
2022-05-22,61
2022-05-29,59
2022-06-05,61
2022-06-12,59
2022-06-19,57
2022-06-26,56
2022-07-03,54
2022-07-10,57
2022-07-17,59
2022-07-24,53
2022-07-31,56
2022-08-07,55
2022-08-14,50
2022-08-21,49
2022-08-28,46
2022-09-04,45
2022-09-11,43
2022-09-18,46
2022-09-25,44
2022-10-02,46
2022-10-09,41
2022-10-16,41
2022-10-23,41
2022-10-30,43
2022-11-06,45
2022-11-13,40
2022-11-20,37
2022-11-27,38
2022-12-04,35
2022-12-11,39
2022-12-18,37
2022-12-25,44
2023-01-01,48
2023-01-08,50
2023-01-15,46
2023-01-22,46
2023-01-29,46
2023-02-05,44
2023-02-12,46
2023-02-19,44
2023-02-26,47
2023-03-05,45
2023-03-12,45
2023-03-19,45
2023-03-26,45
2023-04-02,45
2023-04-09,46
2023-04-16,48
2023-04-23,48
2023-04-30,45
2023-05-07,46
2023-05-14,44
2023-05-21,48
