Category: All categories

Week,Cronos: (Worldwide)
2018-12-16,57
2018-12-23,48
2018-12-30,51
2019-01-06,59
2019-01-13,68
2019-01-20,69
2019-01-27,86
2019-02-03,100
2019-02-10,80
2019-02-17,71
2019-02-24,69
2019-03-03,63
2019-03-10,59
2019-03-17,65
2019-03-24,67
2019-03-31,54
2019-04-07,62
2019-04-14,53
2019-04-21,53
2019-04-28,52
2019-05-05,53
2019-05-12,53
2019-05-19,50
2019-05-26,48
2019-06-02,56
2019-06-09,56
2019-06-16,52
2019-06-23,58
2019-06-30,51
2019-07-07,51
2019-07-14,50
2019-07-21,47
2019-07-28,51
2019-08-04,60
2019-08-11,53
2019-08-18,57
2019-08-25,56
2019-09-01,55
2019-09-08,55
2019-09-15,57
2019-09-22,55
2019-09-29,52
2019-10-06,54
2019-10-13,58
2019-10-20,51
2019-10-27,49
2019-11-03,49
2019-11-10,57
2019-11-17,59
2019-11-24,54
2019-12-01,52
2019-12-08,51
2019-12-15,47
2019-12-22,42
2019-12-29,44
2020-01-05,53
2020-01-12,57
2020-01-19,50
2020-01-26,53
2020-02-02,54
2020-02-09,50
2020-02-16,53
2020-02-23,48
2020-03-01,51
2020-03-08,50
2020-03-15,43
2020-03-22,39
2020-03-29,39
2020-04-05,37
2020-04-12,37
2020-04-19,39
2020-04-26,40
2020-05-03,39
2020-05-10,42
2020-05-17,46
2020-05-24,45
2020-05-31,44
2020-06-07,46
2020-06-14,45
2020-06-21,47
2020-06-28,43
2020-07-05,46
2020-07-12,47
2020-07-19,47
2020-07-26,45
2020-08-02,49
2020-08-09,42
2020-08-16,44
2020-08-23,45
2020-08-30,45
2020-09-06,46
2020-09-13,49
2020-09-20,47
2020-09-27,49
2020-10-04,46
2020-10-11,50
2020-10-18,50
2020-10-25,49
2020-11-01,48
2020-11-08,54
2020-11-15,52
2020-11-22,53
2020-11-29,53
2020-12-06,52
2020-12-13,53
2020-12-20,45
2020-12-27,48
2021-01-03,54
2021-01-10,58
2021-01-17,59
2021-01-24,54
2021-01-31,59
2021-02-07,72
2021-02-14,56
2021-02-21,54
2021-02-28,51
2021-03-07,51
2021-03-14,51
2021-03-21,49
2021-03-28,48
2021-04-04,50
2021-04-11,47
2021-04-18,47
2021-04-25,49
2021-05-02,46
2021-05-09,46
2021-05-16,46
2021-05-23,44
2021-05-30,48
2021-06-06,48
2021-06-13,47
2021-06-20,48
2021-06-27,50
2021-07-04,49
2021-07-11,53
2021-07-18,48
2021-07-25,48
2021-08-01,47
2021-08-08,47
2021-08-15,50
2021-08-22,51
2021-08-29,43
2021-09-05,41
2021-09-12,46
2021-09-19,44
2021-09-26,43
2021-10-03,43
2021-10-10,44
2021-10-17,45
2021-10-24,43
2021-10-31,41
2021-11-07,60
2021-11-14,54
2021-11-21,54
2021-11-28,50
2021-12-05,48
2021-12-12,51
2021-12-19,46
2021-12-26,46
2022-01-02,58
2022-01-09,52
2022-01-16,55
2022-01-23,61
2022-01-30,61
2022-02-06,64
2022-02-13,72
2022-02-20,66
2022-02-27,65
2022-03-06,64
2022-03-13,67
2022-03-20,66
2022-03-27,73
2022-04-03,71
2022-04-10,68
2022-04-17,67
2022-04-24,61
2022-05-01,73
2022-05-08,65
2022-05-15,55
2022-05-22,57
2022-05-29,52
2022-06-05,56
2022-06-12,55
2022-06-19,57
2022-06-26,56
2022-07-03,55
2022-07-10,59
2022-07-17,62
2022-07-24,58
2022-07-31,57
2022-08-07,60
2022-08-14,62
2022-08-21,61
2022-08-28,62
2022-09-04,59
2022-09-11,58
2022-09-18,64
2022-09-25,59
2022-10-02,56
2022-10-09,61
2022-10-16,59
2022-10-23,59
2022-10-30,60
2022-11-06,63
2022-11-13,75
2022-11-20,58
2022-11-27,54
2022-12-04,54
2022-12-11,58
2022-12-18,53
2022-12-25,60
2023-01-01,58
2023-01-08,59
2023-01-15,63
2023-01-22,62
2023-01-29,60
2023-02-05,58
2023-02-12,64
2023-02-19,61
2023-02-26,59
2023-03-05,62
2023-03-12,59
2023-03-19,60
2023-03-26,55
2023-04-02,53
2023-04-09,55
2023-04-16,53
2023-04-23,60
2023-04-30,54
2023-05-07,56
2023-05-14,58
2023-05-21,58
