Category: All categories

Week,NEAR Protocol: (Worldwide)
2020-10-18,9
2020-10-25,7
2020-11-01,8
2020-11-08,9
2020-11-15,10
2020-11-22,6
2020-11-29,8
2020-12-06,12
2020-12-13,13
2020-12-20,7
2020-12-27,10
2021-01-03,13
2021-01-10,14
2021-01-17,18
2021-01-24,12
2021-01-31,11
2021-02-07,15
2021-02-14,9
2021-02-21,11
2021-02-28,11
2021-03-07,11
2021-03-14,11
2021-03-21,10
2021-03-28,16
2021-04-04,15
2021-04-11,12
2021-04-18,16
2021-04-25,16
2021-05-02,18
2021-05-09,18
2021-05-16,15
2021-05-23,10
2021-05-30,11
2021-06-06,13
2021-06-13,11
2021-06-20,15
2021-06-27,12
2021-07-04,12
2021-07-11,13
2021-07-18,9
2021-07-25,8
2021-08-01,11
2021-08-08,11
2021-08-15,21
2021-08-22,19
2021-08-29,26
2021-09-05,61
2021-09-12,29
2021-09-19,26
2021-09-26,20
2021-10-03,18
2021-10-10,21
2021-10-17,24
2021-10-24,42
2021-10-31,25
2021-11-07,28
2021-11-14,31
2021-11-21,22
2021-11-28,22
2021-12-05,38
2021-12-12,50
2021-12-19,70
2021-12-26,69
2022-01-02,71
2022-01-09,100
2022-01-16,81
2022-01-23,56
2022-01-30,43
2022-02-06,40
2022-02-13,38
2022-02-20,39
2022-02-27,30
2022-03-06,39
2022-03-13,31
2022-03-20,36
2022-03-27,41
2022-04-03,79
2022-04-10,59
2022-04-17,82
2022-04-24,63
2022-05-01,56
2022-05-08,57
2022-05-15,41
2022-05-22,40
2022-05-29,35
2022-06-05,27
2022-06-12,36
2022-06-19,32
2022-06-26,22
2022-07-03,28
2022-07-10,27
2022-07-17,26
2022-07-24,28
2022-07-31,30
2022-08-07,32
2022-08-14,24
2022-08-21,26
2022-08-28,26
2022-09-04,34
2022-09-11,35
2022-09-18,30
2022-09-25,25
2022-10-02,26
2022-10-09,20
2022-10-16,26
2022-10-23,26
2022-10-30,27
2022-11-06,30
2022-11-13,32
2022-11-20,26
2022-11-27,32
2022-12-04,26
2022-12-11,25
2022-12-18,19
2022-12-25,19
2023-01-01,31
2023-01-08,28
2023-01-15,23
2023-01-22,22
2023-01-29,29
2023-02-05,20
2023-02-12,20
2023-02-19,19
2023-02-26,19
2023-03-05,21
2023-03-12,17
2023-03-19,22
2023-03-26,18
2023-04-02,19
2023-04-09,25
2023-04-16,17
2023-04-23,20
2023-04-30,19
2023-05-07,20
2023-05-14,17
2023-05-21,18
