Category: All categories

Day,Arbitrum: (Worldwide)
2023-03-23,100
2023-03-24,49
2023-03-25,24
2023-03-26,16
2023-03-27,15
2023-03-28,12
2023-03-29,12
2023-03-30,11
2023-03-31,11
2023-04-01,8
2023-04-02,12
2023-04-03,8
2023-04-04,9
2023-04-05,7
2023-04-06,6
2023-04-07,6
2023-04-08,6
2023-04-09,6
2023-04-10,6
2023-04-11,6
2023-04-12,5
2023-04-13,7
2023-04-14,11
2023-04-15,10
2023-04-16,7
2023-04-17,8
2023-04-18,10
2023-04-19,9
2023-04-20,8
2023-04-21,6
2023-04-22,5
2023-04-23,7
2023-04-24,7
2023-04-25,6
2023-04-26,5
2023-04-27,5
2023-04-28,6
2023-04-29,4
2023-04-30,5
2023-05-01,5
2023-05-02,6
2023-05-03,5
2023-05-04,4
2023-05-05,5
2023-05-06,5
2023-05-07,6
2023-05-08,6
2023-05-09,6
2023-05-10,5
2023-05-11,5
2023-05-12,4
2023-05-13,4
2023-05-14,3
2023-05-15,5
2023-05-16,4
2023-05-17,3
2023-05-18,3
2023-05-19,3
2023-05-20,4
2023-05-21,2
2023-05-22,4
2023-05-23,4
