Category: All categories

Week,VeChain: (Worldwide)
2018-08-05,11
2018-08-12,13
2018-08-19,11
2018-08-26,10
2018-09-02,10
2018-09-09,6
2018-09-16,6
2018-09-23,6
2018-09-30,5
2018-10-07,5
2018-10-14,5
2018-10-21,4
2018-10-28,5
2018-11-04,4
2018-11-11,5
2018-11-18,4
2018-11-25,4
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,4
2018-12-30,4
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,4
2019-02-24,3
2019-03-03,3
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,6
2019-04-07,4
2019-04-14,5
2019-04-21,5
2019-04-28,5
2019-05-05,6
2019-05-12,8
2019-05-19,6
2019-05-26,5
2019-06-02,5
2019-06-09,4
2019-06-16,6
2019-06-23,13
2019-06-30,6
2019-07-07,5
2019-07-14,4
2019-07-21,4
2019-07-28,3
2019-08-04,4
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,2
2019-09-29,3
2019-10-06,2
2019-10-13,3
2019-10-20,2
2019-10-27,3
2019-11-03,6
2019-11-10,10
2019-11-17,6
2019-11-24,5
2019-12-01,6
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,3
2020-01-12,4
2020-01-19,4
2020-01-26,4
2020-02-02,4
2020-02-09,5
2020-02-16,4
2020-02-23,4
2020-03-01,2
2020-03-08,3
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,4
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,6
2020-05-31,7
2020-06-07,14
2020-06-14,9
2020-06-21,8
2020-06-28,10
2020-07-05,28
2020-07-12,16
2020-07-19,12
2020-07-26,11
2020-08-02,12
2020-08-09,12
2020-08-16,10
2020-08-23,8
2020-08-30,8
2020-09-06,7
2020-09-13,6
2020-09-20,6
2020-09-27,6
2020-10-04,5
2020-10-11,5
2020-10-18,5
2020-10-25,4
2020-11-01,4
2020-11-08,5
2020-11-15,7
2020-11-22,11
2020-11-29,9
2020-12-06,7
2020-12-13,8
2020-12-20,9
2020-12-27,15
2021-01-03,26
2021-01-10,13
2021-01-17,18
2021-01-24,14
2021-01-31,16
2021-02-07,36
2021-02-14,31
2021-02-21,22
2021-02-28,26
2021-03-07,37
2021-03-14,48
2021-03-21,45
2021-03-28,33
2021-04-04,56
2021-04-11,100
2021-04-18,87
2021-04-25,59
2021-05-02,78
2021-05-09,74
2021-05-16,64
2021-05-23,48
2021-05-30,39
2021-06-06,30
2021-06-13,21
2021-06-20,23
2021-06-27,20
2021-07-04,17
2021-07-11,15
2021-07-18,17
2021-07-25,19
2021-08-01,19
2021-08-08,25
2021-08-15,29
2021-08-22,27
2021-08-29,32
2021-09-05,30
2021-09-12,21
2021-09-19,20
2021-09-26,19
2021-10-03,20
2021-10-10,25
2021-10-17,31
2021-10-24,32
2021-10-31,36
2021-11-07,43
2021-11-14,32
2021-11-21,24
2021-11-28,21
2021-12-05,18
2021-12-12,16
2021-12-19,13
2021-12-26,15
2022-01-02,20
2022-01-09,15
2022-01-16,14
2022-01-23,14
2022-01-30,12
2022-02-06,13
2022-02-13,10
2022-02-20,10
2022-02-27,10
2022-03-06,8
2022-03-13,7
2022-03-20,11
2022-03-27,23
2022-04-03,10
2022-04-10,9
2022-04-17,7
2022-04-24,7
2022-05-01,7
2022-05-08,9
2022-05-15,8
2022-05-22,6
2022-05-29,6
2022-06-05,7
2022-06-12,9
2022-06-19,6
2022-06-26,5
2022-07-03,5
2022-07-10,4
2022-07-17,5
2022-07-24,5
2022-07-31,8
2022-08-07,7
2022-08-14,5
2022-08-21,5
2022-08-28,4
2022-09-04,4
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,4
2022-10-30,4
2022-11-06,6
2022-11-13,7
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,4
2022-12-18,4
2022-12-25,4
2023-01-01,4
2023-01-08,4
2023-01-15,5
2023-01-22,6
2023-01-29,5
2023-02-05,4
2023-02-12,5
2023-02-19,7
2023-02-26,4
2023-03-05,4
2023-03-12,5
2023-03-19,5
2023-03-26,4
2023-04-02,4
2023-04-09,4
2023-04-16,4
2023-04-23,3
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,2
