Category: All categories

Week,Quant: (Worldwide)
2018-08-12,18
2018-08-19,19
2018-08-26,19
2018-09-02,21
2018-09-09,21
2018-09-16,22
2018-09-23,22
2018-09-30,22
2018-10-07,22
2018-10-14,22
2018-10-21,21
2018-10-28,23
2018-11-04,21
2018-11-11,22
2018-11-18,22
2018-11-25,22
2018-12-02,22
2018-12-09,20
2018-12-16,21
2018-12-23,17
2018-12-30,21
2019-01-06,23
2019-01-13,23
2019-01-20,21
2019-01-27,22
2019-02-03,21
2019-02-10,21
2019-02-17,21
2019-02-24,20
2019-03-03,20
2019-03-10,21
2019-03-17,22
2019-03-24,22
2019-03-31,32
2019-04-07,25
2019-04-14,23
2019-04-21,21
2019-04-28,21
2019-05-05,23
2019-05-12,22
2019-05-19,22
2019-05-26,22
2019-06-02,23
2019-06-09,21
2019-06-16,22
2019-06-23,22
2019-06-30,22
2019-07-07,22
2019-07-14,21
2019-07-21,21
2019-07-28,20
2019-08-04,21
2019-08-11,21
2019-08-18,22
2019-08-25,22
2019-09-01,22
2019-09-08,23
2019-09-15,23
2019-09-22,22
2019-09-29,22
2019-10-06,23
2019-10-13,22
2019-10-20,23
2019-10-27,60
2019-11-03,30
2019-11-10,24
2019-11-17,24
2019-11-24,22
2019-12-01,21
2019-12-08,21
2019-12-15,21
2019-12-22,17
2019-12-29,19
2020-01-05,25
2020-01-12,24
2020-01-19,22
2020-01-26,22
2020-02-02,22
2020-02-09,24
2020-02-16,25
2020-02-23,21
2020-03-01,22
2020-03-08,29
2020-03-15,20
2020-03-22,22
2020-03-29,24
2020-04-05,21
2020-04-12,23
2020-04-19,22
2020-04-26,25
2020-05-03,24
2020-05-10,24
2020-05-17,24
2020-05-24,23
2020-05-31,23
2020-06-07,22
2020-06-14,20
2020-06-21,21
2020-06-28,21
2020-07-05,21
2020-07-12,20
2020-07-19,20
2020-07-26,20
2020-08-02,19
2020-08-09,20
2020-08-16,21
2020-08-23,24
2020-08-30,22
2020-09-06,25
2020-09-13,31
2020-09-20,27
2020-09-27,28
2020-10-04,26
2020-10-11,23
2020-10-18,21
2020-10-25,24
2020-11-01,20
2020-11-08,22
2020-11-15,23
2020-11-22,23
2020-11-29,23
2020-12-06,20
2020-12-13,21
2020-12-20,19
2020-12-27,21
2021-01-03,22
2021-01-10,24
2021-01-17,26
2021-01-24,24
2021-01-31,24
2021-02-07,25
2021-02-14,22
2021-02-21,22
2021-02-28,22
2021-03-07,22
2021-03-14,23
2021-03-21,24
2021-03-28,23
2021-04-04,25
2021-04-11,25
2021-04-18,25
2021-04-25,26
2021-05-02,25
2021-05-09,26
2021-05-16,27
2021-05-23,27
2021-05-30,27
2021-06-06,28
2021-06-13,29
2021-06-20,29
2021-06-27,28
2021-07-04,27
2021-07-11,25
2021-07-18,25
2021-07-25,30
2021-08-01,31
2021-08-08,26
2021-08-15,26
2021-08-22,28
2021-08-29,28
2021-09-05,37
2021-09-12,33
2021-09-19,30
2021-09-26,27
2021-10-03,30
2021-10-10,30
2021-10-17,29
2021-10-24,30
2021-10-31,30
2021-11-07,32
2021-11-14,32
2021-11-21,29
2021-11-28,29
2021-12-05,30
2021-12-12,29
2021-12-19,25
2021-12-26,25
2022-01-02,33
2022-01-09,31
2022-01-16,33
2022-01-23,33
2022-01-30,36
2022-02-06,34
2022-02-13,33
2022-02-20,32
2022-02-27,34
2022-03-06,30
2022-03-13,29
2022-03-20,31
2022-03-27,38
2022-04-03,33
2022-04-10,30
2022-04-17,32
2022-04-24,30
2022-05-01,29
2022-05-08,32
2022-05-15,29
2022-05-22,30
2022-05-29,28
2022-06-05,29
2022-06-12,31
2022-06-19,31
2022-06-26,28
2022-07-03,29
2022-07-10,30
2022-07-17,31
2022-07-24,31
2022-07-31,34
2022-08-07,32
2022-08-14,31
2022-08-21,32
2022-08-28,32
2022-09-04,34
2022-09-11,35
2022-09-18,34
2022-09-25,37
2022-10-02,35
2022-10-09,37
2022-10-16,38
2022-10-23,32
2022-10-30,35
2022-11-06,39
2022-11-13,38
2022-11-20,36
2022-11-27,35
2022-12-04,34
2022-12-11,35
2022-12-18,37
2022-12-25,34
2023-01-01,38
2023-01-08,37
2023-01-15,39
2023-01-22,38
2023-01-29,38
2023-02-05,38
2023-02-12,37
2023-02-19,37
2023-02-26,35
2023-03-05,36
2023-03-12,37
2023-03-19,37
2023-03-26,37
2023-04-02,32
2023-04-09,100
2023-04-16,42
2023-04-23,37
2023-04-30,36
2023-05-07,36
2023-05-14,35
2023-05-21,36
