Category: All categories

Week,Algorand: (Worldwide)
2019-06-23,6
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,2
2019-10-13,2
2019-10-20,2
2019-10-27,2
2019-11-03,2
2019-11-10,2
2019-11-17,2
2019-11-24,1
2019-12-01,1
2019-12-08,2
2019-12-15,1
2019-12-22,1
2019-12-29,2
2020-01-05,2
2020-01-12,1
2020-01-19,2
2020-01-26,1
2020-02-02,2
2020-02-09,4
2020-02-16,5
2020-02-23,3
2020-03-01,3
2020-03-08,2
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,1
2020-04-12,2
2020-04-19,2
2020-04-26,2
2020-05-03,3
2020-05-10,2
2020-05-17,2
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,2
2020-06-21,3
2020-06-28,3
2020-07-05,5
2020-07-12,9
2020-07-19,8
2020-07-26,6
2020-08-02,8
2020-08-09,19
2020-08-16,11
2020-08-23,8
2020-08-30,7
2020-09-06,7
2020-09-13,6
2020-09-20,6
2020-09-27,5
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,4
2020-11-01,6
2020-11-08,6
2020-11-15,6
2020-11-22,7
2020-11-29,6
2020-12-06,4
2020-12-13,7
2020-12-20,7
2020-12-27,13
2021-01-03,18
2021-01-10,13
2021-01-17,16
2021-01-24,21
2021-01-31,30
2021-02-07,64
2021-02-14,55
2021-02-21,38
2021-02-28,32
2021-03-07,31
2021-03-14,37
2021-03-21,26
2021-03-28,29
2021-04-04,29
2021-04-11,39
2021-04-18,34
2021-04-25,33
2021-05-02,44
2021-05-09,43
2021-05-16,39
2021-05-23,29
2021-05-30,28
2021-06-06,26
2021-06-13,28
2021-06-20,22
2021-06-27,16
2021-07-04,16
2021-07-11,16
2021-07-18,13
2021-07-25,17
2021-08-01,16
2021-08-08,19
2021-08-15,23
2021-08-22,24
2021-08-29,25
2021-09-05,100
2021-09-12,68
2021-09-19,40
2021-09-26,37
2021-10-03,49
2021-10-10,39
2021-10-17,33
2021-10-24,38
2021-10-31,40
2021-11-07,55
2021-11-14,62
2021-11-21,39
2021-11-28,47
2021-12-05,38
2021-12-12,35
2021-12-19,36
2021-12-26,48
2022-01-02,49
2022-01-09,39
2022-01-16,41
2022-01-23,41
2022-01-30,35
2022-02-06,38
2022-02-13,34
2022-02-20,28
2022-02-27,27
2022-03-06,30
2022-03-13,28
2022-03-20,33
2022-03-27,37
2022-04-03,29
2022-04-10,24
2022-04-17,26
2022-04-24,25
2022-05-01,45
2022-05-08,36
2022-05-15,28
2022-05-22,27
2022-05-29,25
2022-06-05,22
2022-06-12,25
2022-06-19,21
2022-06-26,18
2022-07-03,19
2022-07-10,18
2022-07-17,18
2022-07-24,17
2022-07-31,16
2022-08-07,19
2022-08-14,17
2022-08-21,16
2022-08-28,15
2022-09-04,19
2022-09-11,18
2022-09-18,27
2022-09-25,25
2022-10-02,18
2022-10-09,19
2022-10-16,20
2022-10-23,19
2022-10-30,23
2022-11-06,24
2022-11-13,27
2022-11-20,21
2022-11-27,16
2022-12-04,21
2022-12-11,22
2022-12-18,18
2022-12-25,17
2023-01-01,20
2023-01-08,18
2023-01-15,17
2023-01-22,17
2023-01-29,18
2023-02-05,18
2023-02-12,15
2023-02-19,14
2023-02-26,12
2023-03-05,15
2023-03-12,13
2023-03-19,15
2023-03-26,15
2023-04-02,13
2023-04-09,14
2023-04-16,19
2023-04-23,12
2023-04-30,11
2023-05-07,11
2023-05-14,8
2023-05-21,10
