Category: All categories

Week,The Graph: (Worldwide)
2020-12-20,42
2020-12-27,30
2021-01-03,55
2021-01-10,71
2021-01-17,68
2021-01-24,77
2021-01-31,88
2021-02-07,87
2021-02-14,69
2021-02-21,81
2021-02-28,83
2021-03-07,81
2021-03-14,70
2021-03-21,69
2021-03-28,55
2021-04-04,58
2021-04-11,68
2021-04-18,66
2021-04-25,72
2021-05-02,71
2021-05-09,64
2021-05-16,66
2021-05-23,58
2021-05-30,46
2021-06-06,50
2021-06-13,47
2021-06-20,45
2021-06-27,43
2021-07-04,42
2021-07-11,45
2021-07-18,38
2021-07-25,42
2021-08-01,41
2021-08-08,37
2021-08-15,39
2021-08-22,45
2021-08-29,50
2021-09-05,57
2021-09-12,77
2021-09-19,77
2021-09-26,75
2021-10-03,74
2021-10-10,67
2021-10-17,79
2021-10-24,76
2021-10-31,70
2021-11-07,72
2021-11-14,81
2021-11-21,56
2021-11-28,69
2021-12-05,71
2021-12-12,65
2021-12-19,35
2021-12-26,25
2022-01-02,46
2022-01-09,60
2022-01-16,70
2022-01-23,88
2022-01-30,74
2022-02-06,88
2022-02-13,96
2022-02-20,91
2022-02-27,96
2022-03-06,99
2022-03-13,81
2022-03-20,86
2022-03-27,96
2022-04-03,91
2022-04-10,75
2022-04-17,92
2022-04-24,100
2022-05-01,87
2022-05-08,93
2022-05-15,80
2022-05-22,69
2022-05-29,61
2022-06-05,67
2022-06-12,64
2022-06-19,52
2022-06-26,45
2022-07-03,38
2022-07-10,38
2022-07-17,42
2022-07-24,37
2022-07-31,37
2022-08-07,36
2022-08-14,43
2022-08-21,58
2022-08-28,70
2022-09-04,74
2022-09-11,93
2022-09-18,96
2022-09-25,92
2022-10-02,86
2022-10-09,87
2022-10-16,91
2022-10-23,84
2022-10-30,83
2022-11-06,83
2022-11-13,89
2022-11-20,55
2022-11-27,80
2022-12-04,83
2022-12-11,81
2022-12-18,43
2022-12-25,28
2023-01-01,45
2023-01-08,70
2023-01-15,74
2023-01-22,80
2023-01-29,84
2023-02-05,86
2023-02-12,87
2023-02-19,84
2023-02-26,91
2023-03-05,86
2023-03-12,72
2023-03-19,76
2023-03-26,71
2023-04-02,65
2023-04-09,72
2023-04-16,78
2023-04-23,86
2023-04-30,80
2023-05-07,75
2023-05-14,73
2023-05-21,67
