Category: All categories

Week,Render Token: (Worldwide)
2020-06-14,23
2020-06-21,3
2020-06-28,8
2020-07-05,7
2020-07-12,0
2020-07-19,0
2020-07-26,7
2020-08-02,0
2020-08-09,10
2020-08-16,0
2020-08-23,13
2020-08-30,5
2020-09-06,5
2020-09-13,20
2020-09-20,0
2020-09-27,6
2020-10-04,0
2020-10-11,0
2020-10-18,8
2020-10-25,0
2020-11-01,0
2020-11-08,6
2020-11-15,0
2020-11-22,0
2020-11-29,12
2020-12-06,0
2020-12-13,15
2020-12-20,6
2020-12-27,5
2021-01-03,4
2021-01-10,0
2021-01-17,4
2021-01-24,5
2021-01-31,5
2021-02-07,7
2021-02-14,4
2021-02-21,4
2021-02-28,0
2021-03-07,8
2021-03-14,9
2021-03-21,13
2021-03-28,13
2021-04-04,7
2021-04-11,8
2021-04-18,8
2021-04-25,6
2021-05-02,15
2021-05-09,8
2021-05-16,15
2021-05-23,0
2021-05-30,7
2021-06-06,0
2021-06-13,0
2021-06-20,3
2021-06-27,0
2021-07-04,7
2021-07-11,3
2021-07-18,0
2021-07-25,6
2021-08-01,11
2021-08-08,0
2021-08-15,7
2021-08-22,0
2021-08-29,13
2021-09-05,4
2021-09-12,6
2021-09-19,7
2021-09-26,0
2021-10-03,7
2021-10-10,0
2021-10-17,18
2021-10-24,7
2021-10-31,15
2021-11-07,40
2021-11-14,99
2021-11-21,61
2021-11-28,61
2021-12-05,29
2021-12-12,23
2021-12-19,43
2021-12-26,21
2022-01-02,37
2022-01-09,16
2022-01-16,12
2022-01-23,16
2022-01-30,37
2022-02-06,40
2022-02-13,39
2022-02-20,11
2022-02-27,22
2022-03-06,10
2022-03-13,23
2022-03-20,17
2022-03-27,18
2022-04-03,12
2022-04-10,10
2022-04-17,3
2022-04-24,14
2022-05-01,25
2022-05-08,18
2022-05-15,9
2022-05-22,6
2022-05-29,23
2022-06-05,12
2022-06-12,10
2022-06-19,13
2022-06-26,16
2022-07-03,5
2022-07-10,6
2022-07-17,15
2022-07-24,16
2022-07-31,9
2022-08-07,6
2022-08-14,13
2022-08-21,18
2022-08-28,11
2022-09-04,14
2022-09-11,5
2022-09-18,15
2022-09-25,8
2022-10-02,7
2022-10-09,9
2022-10-16,6
2022-10-23,27
2022-10-30,37
2022-11-06,44
2022-11-13,25
2022-11-20,19
2022-11-27,13
2022-12-04,10
2022-12-11,6
2022-12-18,13
2022-12-25,9
2023-01-01,11
2023-01-08,11
2023-01-15,19
2023-01-22,28
2023-01-29,88
2023-02-05,64
2023-02-12,37
2023-02-19,23
2023-02-26,26
2023-03-05,19
2023-03-12,21
2023-03-19,41
2023-03-26,20
2023-04-02,24
2023-04-09,41
2023-04-16,70
2023-04-23,55
2023-04-30,66
2023-05-07,52
2023-05-14,68
2023-05-21,100
