Category: All categories

Week,BitDAO: (Worldwide)
2021-08-22,36
2021-08-29,58
2021-09-05,31
2021-09-12,71
2021-09-19,68
2021-09-26,89
2021-10-03,93
2021-10-10,61
2021-10-17,89
2021-10-24,92
2021-10-31,100
2021-11-07,96
2021-11-14,85
2021-11-21,76
2021-11-28,77
2021-12-05,55
2021-12-12,53
2021-12-19,50
2021-12-26,59
2022-01-02,83
2022-01-09,72
2022-01-16,73
2022-01-23,43
2022-01-30,31
2022-02-06,46
2022-02-13,51
2022-02-20,45
2022-02-27,34
2022-03-06,22
2022-03-13,26
2022-03-20,22
2022-03-27,34
2022-04-03,33
2022-04-10,28
2022-04-17,38
2022-04-24,52
2022-05-01,24
2022-05-08,34
2022-05-15,21
2022-05-22,23
2022-05-29,32
2022-06-05,44
2022-06-12,30
2022-06-19,26
2022-06-26,0
2022-07-03,24
2022-07-10,17
2022-07-17,20
2022-07-24,6
2022-07-31,14
2022-08-07,21
2022-08-14,13
2022-08-21,25
2022-08-28,26
2022-09-04,14
2022-09-11,15
2022-09-18,10
2022-09-25,15
2022-10-02,15
2022-10-09,13
2022-10-16,15
2022-10-23,18
2022-10-30,15
2022-11-06,55
2022-11-13,19
2022-11-20,9
2022-11-27,24
2022-12-04,16
2022-12-11,15
2022-12-18,9
2022-12-25,20
2023-01-01,28
2023-01-08,35
2023-01-15,32
2023-01-22,17
2023-01-29,22
2023-02-05,7
2023-02-12,17
2023-02-19,21
2023-02-26,11
2023-03-05,9
2023-03-12,11
2023-03-19,17
2023-03-26,21
2023-04-02,11
2023-04-09,7
2023-04-16,15
2023-04-23,7
2023-04-30,10
2023-05-07,7
2023-05-14,11
2023-05-21,12
