Category: All categories

Week,The Sandbox: (Worldwide)
2020-08-16,9
2020-08-23,10
2020-08-30,11
2020-09-06,11
2020-09-13,11
2020-09-20,12
2020-09-27,8
2020-10-04,9
2020-10-11,6
2020-10-18,7
2020-10-25,8
2020-11-01,9
2020-11-08,10
2020-11-15,8
2020-11-22,9
2020-11-29,7
2020-12-06,10
2020-12-13,10
2020-12-20,10
2020-12-27,8
2021-01-03,7
2021-01-10,10
2021-01-17,10
2021-01-24,8
2021-01-31,10
2021-02-07,11
2021-02-14,11
2021-02-21,9
2021-02-28,9
2021-03-07,11
2021-03-14,13
2021-03-21,15
2021-03-28,14
2021-04-04,13
2021-04-11,13
2021-04-18,10
2021-04-25,11
2021-05-02,10
2021-05-09,11
2021-05-16,12
2021-05-23,12
2021-05-30,17
2021-06-06,10
2021-06-13,9
2021-06-20,9
2021-06-27,11
2021-07-04,12
2021-07-11,12
2021-07-18,13
2021-07-25,13
2021-08-01,12
2021-08-08,14
2021-08-15,14
2021-08-22,13
2021-08-29,16
2021-09-05,14
2021-09-12,12
2021-09-19,13
2021-09-26,13
2021-10-03,13
2021-10-10,14
2021-10-17,15
2021-10-24,20
2021-10-31,46
2021-11-07,30
2021-11-14,50
2021-11-21,86
2021-11-28,100
2021-12-05,65
2021-12-12,50
2021-12-19,49
2021-12-26,47
2022-01-02,60
2022-01-09,55
2022-01-16,47
2022-01-23,58
2022-01-30,50
2022-02-06,41
2022-02-13,47
2022-02-20,36
2022-02-27,39
2022-03-06,43
2022-03-13,46
2022-03-20,42
2022-03-27,43
2022-04-03,36
2022-04-10,28
2022-04-17,29
2022-04-24,30
2022-05-01,28
2022-05-08,29
2022-05-15,28
2022-05-22,26
2022-05-29,24
2022-06-05,24
2022-06-12,23
2022-06-19,27
2022-06-26,23
2022-07-03,20
2022-07-10,23
2022-07-17,21
2022-07-24,20
2022-07-31,20
2022-08-07,24
2022-08-14,23
2022-08-21,28
2022-08-28,25
2022-09-04,27
2022-09-11,25
2022-09-18,26
2022-09-25,25
2022-10-02,23
2022-10-09,23
2022-10-16,23
2022-10-23,22
2022-10-30,23
2022-11-06,19
2022-11-13,18
2022-11-20,18
2022-11-27,18
2022-12-04,19
2022-12-11,20
2022-12-18,19
2022-12-25,18
2023-01-01,17
2023-01-08,18
2023-01-15,17
2023-01-22,19
2023-01-29,20
2023-02-05,21
2023-02-12,19
2023-02-19,19
2023-02-26,18
2023-03-05,18
2023-03-12,18
2023-03-19,16
2023-03-26,19
2023-04-02,19
2023-04-09,18
2023-04-16,15
2023-04-23,18
2023-04-30,15
2023-05-07,18
2023-05-14,16
2023-05-21,18
