Category: All categories

Week,Fantom: (Worldwide)
2018-11-04,28
2018-11-11,28
2018-11-18,27
2018-11-25,31
2018-12-02,32
2018-12-09,30
2018-12-16,30
2018-12-23,30
2018-12-30,29
2019-01-06,28
2019-01-13,28
2019-01-20,29
2019-01-27,30
2019-02-03,31
2019-02-10,28
2019-02-17,28
2019-02-24,26
2019-03-03,26
2019-03-10,28
2019-03-17,27
2019-03-24,29
2019-03-31,26
2019-04-07,26
2019-04-14,27
2019-04-21,23
2019-04-28,25
2019-05-05,27
2019-05-12,26
2019-05-19,25
2019-05-26,27
2019-06-02,24
2019-06-09,30
2019-06-16,24
2019-06-23,23
2019-06-30,25
2019-07-07,25
2019-07-14,27
2019-07-21,22
2019-07-28,24
2019-08-04,24
2019-08-11,21
2019-08-18,25
2019-08-25,25
2019-09-01,35
2019-09-08,34
2019-09-15,33
2019-09-22,24
2019-09-29,27
2019-10-06,28
2019-10-13,29
2019-10-20,27
2019-10-27,27
2019-11-03,29
2019-11-10,31
2019-11-17,29
2019-11-24,30
2019-12-01,29
2019-12-08,28
2019-12-15,28
2019-12-22,30
2019-12-29,30
2020-01-05,25
2020-01-12,27
2020-01-19,26
2020-01-26,30
2020-02-02,30
2020-02-09,29
2020-02-16,29
2020-02-23,28
2020-03-01,27
2020-03-08,21
2020-03-15,22
2020-03-22,25
2020-03-29,27
2020-04-05,25
2020-04-12,28
2020-04-19,29
2020-04-26,30
2020-05-03,33
2020-05-10,32
2020-05-17,30
2020-05-24,30
2020-05-31,31
2020-06-07,31
2020-06-14,33
2020-06-21,28
2020-06-28,28
2020-07-05,33
2020-07-12,28
2020-07-19,27
2020-07-26,25
2020-08-02,29
2020-08-09,28
2020-08-16,27
2020-08-23,26
2020-08-30,27
2020-09-06,26
2020-09-13,29
2020-09-20,27
2020-09-27,31
2020-10-04,25
2020-10-11,28
2020-10-18,28
2020-10-25,27
2020-11-01,26
2020-11-08,29
2020-11-15,28
2020-11-22,29
2020-11-29,29
2020-12-06,27
2020-12-13,28
2020-12-20,30
2020-12-27,29
2021-01-03,26
2021-01-10,25
2021-01-17,25
2021-01-24,34
2021-01-31,31
2021-02-07,29
2021-02-14,29
2021-02-21,50
2021-02-28,33
2021-03-07,34
2021-03-14,31
2021-03-21,33
2021-03-28,31
2021-04-04,31
2021-04-11,30
2021-04-18,28
2021-04-25,40
2021-05-02,41
2021-05-09,35
2021-05-16,34
2021-05-23,31
2021-05-30,33
2021-06-06,29
2021-06-13,30
2021-06-20,29
2021-06-27,30
2021-07-04,27
2021-07-11,25
2021-07-18,24
2021-07-25,27
2021-08-01,26
2021-08-08,25
2021-08-15,32
2021-08-22,30
2021-08-29,54
2021-09-05,71
2021-09-12,51
2021-09-19,46
2021-09-26,43
2021-10-03,60
2021-10-10,54
2021-10-17,64
2021-10-24,92
2021-10-31,75
2021-11-07,73
2021-11-14,69
2021-11-21,72
2021-11-28,61
2021-12-05,52
2021-12-12,49
2021-12-19,53
2021-12-26,61
2022-01-02,100
2022-01-09,97
2022-01-16,95
2022-01-23,94
2022-01-30,73
2022-02-06,70
2022-02-13,62
2022-02-20,63
2022-02-27,65
2022-03-06,79
2022-03-13,71
2022-03-20,64
2022-03-27,60
2022-04-03,50
2022-04-10,48
2022-04-17,51
2022-04-24,53
2022-05-01,53
2022-05-08,55
2022-05-15,45
2022-05-22,49
2022-05-29,36
2022-06-05,39
2022-06-12,40
2022-06-19,38
2022-06-26,36
2022-07-03,35
2022-07-10,35
2022-07-17,39
2022-07-24,35
2022-07-31,36
2022-08-07,35
2022-08-14,31
2022-08-21,31
2022-08-28,29
2022-09-04,33
2022-09-11,33
2022-09-18,33
2022-09-25,30
2022-10-02,29
2022-10-09,33
2022-10-16,32
2022-10-23,33
2022-10-30,39
2022-11-06,36
2022-11-13,34
2022-11-20,33
2022-11-27,36
2022-12-04,33
2022-12-11,33
2022-12-18,36
2022-12-25,40
2023-01-01,38
2023-01-08,38
2023-01-15,36
2023-01-22,38
2023-01-29,51
2023-02-05,41
2023-02-12,37
2023-02-19,37
2023-02-26,34
2023-03-05,32
2023-03-12,38
2023-03-19,34
2023-03-26,33
2023-04-02,33
2023-04-09,34
2023-04-16,33
2023-04-23,36
2023-04-30,34
2023-05-07,36
2023-05-14,36
2023-05-21,34
