Category: All categories

Week,MultiversX: (Worldwide)
2020-09-06,0
2020-09-13,0
2020-09-20,14
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,9
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,25
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,40
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,10
2021-04-11,16
2021-04-18,0
2021-04-25,0
2021-05-02,10
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,10
2021-06-20,10
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,20
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,9
2021-10-03,30
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,13
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,9
2022-01-23,0
2022-01-30,10
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,9
2022-03-06,0
2022-03-13,0
2022-03-20,6
2022-03-27,0
2022-04-03,0
2022-04-10,6
2022-04-17,0
2022-04-24,0
2022-05-01,8
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,7
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,7
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,56
2022-11-06,42
2022-11-13,48
2022-11-20,10
2022-11-27,0
2022-12-04,21
2022-12-11,15
2022-12-18,15
2022-12-25,21
2023-01-01,16
2023-01-08,48
2023-01-15,41
2023-01-22,53
2023-01-29,70
2023-02-05,31
2023-02-12,84
2023-02-19,79
2023-02-26,100
2023-03-05,50
2023-03-12,48
2023-03-19,84
2023-03-26,53
2023-04-02,42
2023-04-09,58
2023-04-16,36
2023-04-23,66
2023-04-30,76
2023-05-07,58
2023-05-14,84
2023-05-21,64
