Category: All categories

Week,EOS: (Worldwide)
2018-05-27,98
2018-06-03,93
2018-06-10,90
2018-06-17,81
2018-06-24,79
2018-07-01,74
2018-07-08,74
2018-07-15,78
2018-07-22,80
2018-07-29,78
2018-08-05,76
2018-08-12,76
2018-08-19,72
2018-08-26,75
2018-09-02,100
2018-09-09,80
2018-09-16,79
2018-09-23,79
2018-09-30,75
2018-10-07,80
2018-10-14,78
2018-10-21,76
2018-10-28,77
2018-11-04,78
2018-11-11,77
2018-11-18,99
2018-11-25,84
2018-12-02,80
2018-12-09,83
2018-12-16,82
2018-12-23,94
2018-12-30,77
2019-01-06,78
2019-01-13,75
2019-01-20,71
2019-01-27,76
2019-02-03,73
2019-02-10,84
2019-02-17,84
2019-02-24,80
2019-03-03,76
2019-03-10,69
2019-03-17,75
2019-03-24,73
2019-03-31,74
2019-04-07,78
2019-04-14,71
2019-04-21,77
2019-04-28,75
2019-05-05,70
2019-05-12,71
2019-05-19,76
2019-05-26,80
2019-06-02,75
2019-06-09,73
2019-06-16,71
2019-06-23,74
2019-06-30,71
2019-07-07,73
2019-07-14,78
2019-07-21,71
2019-07-28,72
2019-08-04,71
2019-08-11,74
2019-08-18,73
2019-08-25,77
2019-09-01,70
2019-09-08,73
2019-09-15,73
2019-09-22,71
2019-09-29,75
2019-10-06,70
2019-10-13,69
2019-10-20,71
2019-10-27,68
2019-11-03,73
2019-11-10,75
2019-11-17,77
2019-11-24,86
2019-12-01,82
2019-12-08,73
2019-12-15,76
2019-12-22,83
2019-12-29,75
2020-01-05,74
2020-01-12,75
2020-01-19,68
2020-01-26,69
2020-02-02,70
2020-02-09,76
2020-02-16,74
2020-02-23,68
2020-03-01,63
2020-03-08,62
2020-03-15,57
2020-03-22,48
2020-03-29,50
2020-04-05,55
2020-04-12,58
2020-04-19,64
2020-04-26,65
2020-05-03,64
2020-05-10,67
2020-05-17,70
2020-05-24,73
2020-05-31,70
2020-06-07,69
2020-06-14,73
2020-06-21,73
2020-06-28,71
2020-07-05,85
2020-07-12,80
2020-07-19,76
2020-07-26,75
2020-08-02,72
2020-08-09,73
2020-08-16,78
2020-08-23,76
2020-08-30,72
2020-09-06,72
2020-09-13,69
2020-09-20,66
2020-09-27,65
2020-10-04,63
2020-10-11,64
2020-10-18,64
2020-10-25,66
2020-11-01,58
2020-11-08,65
2020-11-15,69
2020-11-22,78
2020-11-29,68
2020-12-06,68
2020-12-13,68
2020-12-20,72
2020-12-27,72
2021-01-03,68
2021-01-10,68
2021-01-17,67
2021-01-24,66
2021-01-31,66
2021-02-07,73
2021-02-14,68
2021-02-21,64
2021-02-28,65
2021-03-07,64
2021-03-14,66
2021-03-21,61
2021-03-28,68
2021-04-04,70
2021-04-11,71
2021-04-18,65
2021-04-25,63
2021-05-02,80
2021-05-09,84
2021-05-16,68
2021-05-23,68
2021-05-30,65
2021-06-06,62
2021-06-13,59
2021-06-20,60
2021-06-27,57
2021-07-04,58
2021-07-11,60
2021-07-18,59
2021-07-25,58
2021-08-01,58
2021-08-08,58
2021-08-15,60
2021-08-22,60
2021-08-29,61
2021-09-05,58
2021-09-12,67
2021-09-19,61
2021-09-26,56
2021-10-03,59
2021-10-10,58
2021-10-17,58
2021-10-24,56
2021-10-31,59
2021-11-07,64
2021-11-14,62
2021-11-21,69
2021-11-28,59
2021-12-05,63
2021-12-12,58
2021-12-19,60
2021-12-26,62
2022-01-02,63
2022-01-09,65
2022-01-16,59
2022-01-23,66
2022-01-30,64
2022-02-06,69
2022-02-13,65
2022-02-20,62
2022-02-27,62
2022-03-06,60
2022-03-13,61
2022-03-20,61
2022-03-27,62
2022-04-03,63
2022-04-10,66
2022-04-17,67
2022-04-24,64
2022-05-01,62
2022-05-08,62
2022-05-15,60
2022-05-22,67
2022-05-29,62
2022-06-05,62
2022-06-12,60
2022-06-19,60
2022-06-26,59
2022-07-03,61
2022-07-10,63
2022-07-17,61
2022-07-24,61
2022-07-31,60
2022-08-07,59
2022-08-14,63
2022-08-21,65
2022-08-28,58
2022-09-04,59
2022-09-11,56
2022-09-18,58
2022-09-25,59
2022-10-02,62
2022-10-09,57
2022-10-16,57
2022-10-23,59
2022-10-30,66
2022-11-06,60
2022-11-13,62
2022-11-20,65
2022-11-27,61
2022-12-04,59
2022-12-11,61
2022-12-18,60
2022-12-25,67
2023-01-01,64
2023-01-08,62
2023-01-15,62
2023-01-22,63
2023-01-29,65
2023-02-05,68
2023-02-12,63
2023-02-19,63
2023-02-26,61
2023-03-05,59
2023-03-12,62
2023-03-19,62
2023-03-26,61
2023-04-02,61
2023-04-09,59
2023-04-16,60
2023-04-23,61
2023-04-30,59
2023-05-07,59
2023-05-14,60
2023-05-21,61
