Category: All categories

Week,Conflux: (Worldwide)
2020-11-15,15
2020-11-22,12
2020-11-29,19
2020-12-06,18
2020-12-13,17
2020-12-20,23
2020-12-27,30
2021-01-03,18
2021-01-10,21
2021-01-17,21
2021-01-24,18
2021-01-31,22
2021-02-07,23
2021-02-14,21
2021-02-21,27
2021-02-28,61
2021-03-07,45
2021-03-14,37
2021-03-21,62
2021-03-28,70
2021-04-04,41
2021-04-11,29
2021-04-18,28
2021-04-25,23
2021-05-02,23
2021-05-09,24
2021-05-16,32
2021-05-23,25
2021-05-30,21
2021-06-06,23
2021-06-13,23
2021-06-20,23
2021-06-27,18
2021-07-04,27
2021-07-11,25
2021-07-18,23
2021-07-25,24
2021-08-01,25
2021-08-08,19
2021-08-15,25
2021-08-22,30
2021-08-29,23
2021-09-05,24
2021-09-12,36
2021-09-19,64
2021-09-26,20
2021-10-03,23
2021-10-10,27
2021-10-17,27
2021-10-24,17
2021-10-31,23
2021-11-07,22
2021-11-14,21
2021-11-21,19
2021-11-28,17
2021-12-05,14
2021-12-12,23
2021-12-19,21
2021-12-26,18
2022-01-02,28
2022-01-09,30
2022-01-16,27
2022-01-23,31
2022-01-30,26
2022-02-06,24
2022-02-13,26
2022-02-20,33
2022-02-27,31
2022-03-06,17
2022-03-13,21
2022-03-20,23
2022-03-27,31
2022-04-03,25
2022-04-10,31
2022-04-17,30
2022-04-24,20
2022-05-01,21
2022-05-08,20
2022-05-15,22
2022-05-22,27
2022-05-29,26
2022-06-05,40
2022-06-12,24
2022-06-19,29
2022-06-26,27
2022-07-03,21
2022-07-10,25
2022-07-17,28
2022-07-24,22
2022-07-31,20
2022-08-07,25
2022-08-14,24
2022-08-21,26
2022-08-28,25
2022-09-04,44
2022-09-11,46
2022-09-18,33
2022-09-25,38
2022-10-02,18
2022-10-09,26
2022-10-16,24
2022-10-23,18
2022-10-30,28
2022-11-06,30
2022-11-13,19
2022-11-20,23
2022-11-27,26
2022-12-04,26
2022-12-11,21
2022-12-18,18
2022-12-25,22
2023-01-01,15
2023-01-08,18
2023-01-15,20
2023-01-22,41
2023-01-29,25
2023-02-05,19
2023-02-12,41
2023-02-19,100
2023-02-26,34
2023-03-05,47
2023-03-12,65
2023-03-19,72
2023-03-26,47
2023-04-02,43
2023-04-09,51
2023-04-16,32
2023-04-23,39
2023-04-30,31
2023-05-07,24
2023-05-14,39
2023-05-21,30
