Category: All categories

Week,Theta Network: (Worldwide)
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,7
2018-06-24,0
2018-07-01,0
2018-07-08,12
2018-07-15,10
2018-07-22,16
2018-07-29,6
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,10
2018-09-02,0
2018-09-09,6
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,11
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,5
2018-11-11,11
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,6
2019-01-06,0
2019-01-13,31
2019-01-20,8
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,5
2019-02-24,10
2019-03-03,12
2019-03-10,15
2019-03-17,5
2019-03-24,11
2019-03-31,0
2019-04-07,0
2019-04-14,15
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,15
2019-05-19,24
2019-05-26,13
2019-06-02,5
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,10
2019-07-14,0
2019-07-21,8
2019-07-28,9
2019-08-04,0
2019-08-11,14
2019-08-18,7
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,14
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,10
2019-10-20,0
2019-10-27,0
2019-11-03,8
2019-11-10,13
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,10
2019-12-22,24
2019-12-29,0
2020-01-05,0
2020-01-12,4
2020-01-19,7
2020-01-26,5
2020-02-02,0
2020-02-09,8
2020-02-16,0
2020-02-23,0
2020-03-01,7
2020-03-08,0
2020-03-15,5
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,4
2020-04-19,0
2020-04-26,0
2020-05-03,15
2020-05-10,4
2020-05-17,15
2020-05-24,20
2020-05-31,10
2020-06-07,0
2020-06-14,8
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,9
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,11
2020-08-30,8
2020-09-06,20
2020-09-13,11
2020-09-20,0
2020-09-27,9
2020-10-04,6
2020-10-11,6
2020-10-18,16
2020-10-25,0
2020-11-01,5
2020-11-08,9
2020-11-15,12
2020-11-22,39
2020-11-29,6
2020-12-06,15
2020-12-13,4
2020-12-20,22
2020-12-27,37
2021-01-03,29
2021-01-10,27
2021-01-17,8
2021-01-24,9
2021-01-31,34
2021-02-07,32
2021-02-14,17
2021-02-21,13
2021-02-28,38
2021-03-07,82
2021-03-14,42
2021-03-21,100
2021-03-28,63
2021-04-04,49
2021-04-11,76
2021-04-18,56
2021-04-25,38
2021-05-02,40
2021-05-09,39
2021-05-16,44
2021-05-23,29
2021-05-30,48
2021-06-06,48
2021-06-13,25
2021-06-20,28
2021-06-27,41
2021-07-04,27
2021-07-11,18
2021-07-18,29
2021-07-25,24
2021-08-01,42
2021-08-08,23
2021-08-15,21
2021-08-22,25
2021-08-29,13
2021-09-05,42
2021-09-12,25
2021-09-19,24
2021-09-26,20
2021-10-03,28
2021-10-10,17
2021-10-17,28
2021-10-24,27
2021-10-31,35
2021-11-07,30
2021-11-14,10
2021-11-21,39
2021-11-28,32
2021-12-05,53
2021-12-12,27
2021-12-19,36
2021-12-26,48
2022-01-02,62
2022-01-09,87
2022-01-16,56
2022-01-23,58
2022-01-30,41
2022-02-06,60
2022-02-13,36
2022-02-20,46
2022-02-27,36
2022-03-06,16
2022-03-13,14
2022-03-20,25
2022-03-27,39
2022-04-03,26
2022-04-10,20
2022-04-17,36
2022-04-24,29
2022-05-01,28
2022-05-08,28
2022-05-15,28
2022-05-22,21
2022-05-29,19
2022-06-05,13
2022-06-12,26
2022-06-19,28
2022-06-26,7
2022-07-03,15
2022-07-10,19
2022-07-17,25
2022-07-24,19
2022-07-31,31
2022-08-07,23
2022-08-14,20
2022-08-21,26
2022-08-28,21
2022-09-04,7
2022-09-11,55
2022-09-18,15
2022-09-25,20
2022-10-02,20
2022-10-09,24
2022-10-16,17
2022-10-23,12
2022-10-30,9
2022-11-06,23
2022-11-13,19
2022-11-20,13
2022-11-27,18
2022-12-04,20
2022-12-11,11
2022-12-18,7
2022-12-25,4
2023-01-01,10
2023-01-08,22
2023-01-15,14
2023-01-22,18
2023-01-29,15
2023-02-05,23
2023-02-12,26
2023-02-19,30
2023-02-26,19
2023-03-05,30
2023-03-12,23
2023-03-19,24
2023-03-26,19
2023-04-02,9
2023-04-09,12
2023-04-16,4
2023-04-23,0
2023-04-30,0
2023-05-07,16
2023-05-14,23
2023-05-21,20
