Category: All categories

Week,Tezos: (Worldwide)
2018-05-27,16
2018-06-03,12
2018-06-10,12
2018-06-17,16
2018-06-24,16
2018-07-01,33
2018-07-08,25
2018-07-15,17
2018-07-22,16
2018-07-29,14
2018-08-05,12
2018-08-12,10
2018-08-19,9
2018-08-26,8
2018-09-02,7
2018-09-09,12
2018-09-16,15
2018-09-23,8
2018-09-30,8
2018-10-07,7
2018-10-14,15
2018-10-21,10
2018-10-28,7
2018-11-04,7
2018-11-11,6
2018-11-18,7
2018-11-25,6
2018-12-02,6
2018-12-09,5
2018-12-16,5
2018-12-23,3
2018-12-30,4
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,5
2019-02-17,5
2019-02-24,4
2019-03-03,4
2019-03-10,5
2019-03-17,10
2019-03-24,11
2019-03-31,17
2019-04-07,7
2019-04-14,13
2019-04-21,12
2019-04-28,7
2019-05-05,8
2019-05-12,12
2019-05-19,8
2019-05-26,9
2019-06-02,7
2019-06-09,8
2019-06-16,9
2019-06-23,8
2019-06-30,11
2019-07-07,10
2019-07-14,8
2019-07-21,6
2019-07-28,13
2019-08-04,21
2019-08-11,10
2019-08-18,8
2019-08-25,9
2019-09-01,7
2019-09-08,7
2019-09-15,6
2019-09-22,7
2019-09-29,5
2019-10-06,5
2019-10-13,6
2019-10-20,7
2019-10-27,5
2019-11-03,16
2019-11-10,11
2019-11-17,13
2019-11-24,12
2019-12-01,12
2019-12-08,29
2019-12-15,18
2019-12-22,10
2019-12-29,13
2020-01-05,11
2020-01-12,10
2020-01-19,14
2020-01-26,13
2020-02-02,30
2020-02-09,60
2020-02-16,43
2020-02-23,28
2020-03-01,21
2020-03-08,20
2020-03-15,16
2020-03-22,15
2020-03-29,14
2020-04-05,18
2020-04-12,16
2020-04-19,27
2020-04-26,29
2020-05-03,23
2020-05-10,26
2020-05-17,28
2020-05-24,23
2020-05-31,22
2020-06-07,20
2020-06-14,20
2020-06-21,17
2020-06-28,15
2020-07-05,19
2020-07-12,27
2020-07-19,19
2020-07-26,22
2020-08-02,24
2020-08-09,39
2020-08-16,28
2020-08-23,19
2020-08-30,19
2020-09-06,14
2020-09-13,17
2020-09-20,17
2020-09-27,15
2020-10-04,12
2020-10-11,11
2020-10-18,12
2020-10-25,12
2020-11-01,13
2020-11-08,13
2020-11-15,16
2020-11-22,22
2020-11-29,14
2020-12-06,15
2020-12-13,19
2020-12-20,19
2020-12-27,23
2021-01-03,33
2021-01-10,28
2021-01-17,30
2021-01-24,27
2021-01-31,32
2021-02-07,51
2021-02-14,43
2021-02-21,33
2021-02-28,25
2021-03-07,28
2021-03-14,24
2021-03-21,23
2021-03-28,29
2021-04-04,39
2021-04-11,40
2021-04-18,35
2021-04-25,30
2021-05-02,43
2021-05-09,39
2021-05-16,35
2021-05-23,29
2021-05-30,24
2021-06-06,24
2021-06-13,20
2021-06-20,23
2021-06-27,17
2021-07-04,16
2021-07-11,14
2021-07-18,14
2021-07-25,14
2021-08-01,17
2021-08-08,17
2021-08-15,20
2021-08-22,49
2021-08-29,50
2021-09-05,41
2021-09-12,54
2021-09-19,45
2021-09-26,36
2021-10-03,53
2021-10-10,38
2021-10-17,32
2021-10-24,33
2021-10-31,31
2021-11-07,33
2021-11-14,31
2021-11-21,22
2021-11-28,33
2021-12-05,50
2021-12-12,32
2021-12-19,24
2021-12-26,27
2022-01-02,38
2022-01-09,35
2022-01-16,30
2022-01-23,30
2022-01-30,45
2022-02-06,100
2022-02-13,41
2022-02-20,36
2022-02-27,26
2022-03-06,28
2022-03-13,29
2022-03-20,29
2022-03-27,27
2022-04-03,27
2022-04-10,23
2022-04-17,20
2022-04-24,21
2022-05-01,23
2022-05-08,24
2022-05-15,20
2022-05-22,20
2022-05-29,19
2022-06-05,16
2022-06-12,21
2022-06-19,20
2022-06-26,21
2022-07-03,20
2022-07-10,23
2022-07-17,19
2022-07-24,17
2022-07-31,19
2022-08-07,19
2022-08-14,13
2022-08-21,19
2022-08-28,15
2022-09-04,17
2022-09-11,13
2022-09-18,13
2022-09-25,13
2022-10-02,12
2022-10-09,11
2022-10-16,11
2022-10-23,14
2022-10-30,14
2022-11-06,14
2022-11-13,15
2022-11-20,11
2022-11-27,9
2022-12-04,8
2022-12-11,12
2022-12-18,12
2022-12-25,12
2023-01-01,11
2023-01-08,13
2023-01-15,12
2023-01-22,11
2023-01-29,15
2023-02-05,9
2023-02-12,10
2023-02-19,17
2023-02-26,13
2023-03-05,10
2023-03-12,9
2023-03-19,8
2023-03-26,10
2023-04-02,9
2023-04-09,8
2023-04-16,9
2023-04-23,7
2023-04-30,7
2023-05-07,7
2023-05-14,7
2023-05-21,10
