Category: All categories

Week,Axie Infinity: (Worldwide)
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,<1
2021-01-10,1
2021-01-17,<1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,2
2021-03-14,2
2021-03-21,2
2021-03-28,2
2021-04-04,2
2021-04-11,1
2021-04-18,2
2021-04-25,3
2021-05-02,3
2021-05-09,4
2021-05-16,5
2021-05-23,5
2021-05-30,9
2021-06-06,11
2021-06-13,13
2021-06-20,21
2021-06-27,45
2021-07-04,74
2021-07-11,100
2021-07-18,80
2021-07-25,87
2021-08-01,80
2021-08-08,75
2021-08-15,66
2021-08-22,71
2021-08-29,58
2021-09-05,45
2021-09-12,40
2021-09-19,36
2021-09-26,36
2021-10-03,46
2021-10-10,43
2021-10-17,53
2021-10-24,48
2021-10-31,56
2021-11-07,55
2021-11-14,48
2021-11-21,45
2021-11-28,44
2021-12-05,40
2021-12-12,34
2021-12-19,31
2021-12-26,32
2022-01-02,43
2022-01-09,49
2022-01-16,38
2022-01-23,39
2022-01-30,33
2022-02-06,41
2022-02-13,30
2022-02-20,23
2022-02-27,21
2022-03-06,24
2022-03-13,14
2022-03-20,20
2022-03-27,22
2022-04-03,21
2022-04-10,17
2022-04-17,17
2022-04-24,14
2022-05-01,12
2022-05-08,12
2022-05-15,9
2022-05-22,7
2022-05-29,8
2022-06-05,7
2022-06-12,7
2022-06-19,7
2022-06-26,7
2022-07-03,6
2022-07-10,6
2022-07-17,6
2022-07-24,6
2022-07-31,5
2022-08-07,7
2022-08-14,6
2022-08-21,5
2022-08-28,4
2022-09-04,4
2022-09-11,4
2022-09-18,4
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,3
2022-11-06,3
2022-11-13,3
2022-11-20,2
2022-11-27,2
2022-12-04,3
2022-12-11,2
2022-12-18,2
2022-12-25,2
2023-01-01,3
2023-01-08,2
2023-01-15,2
2023-01-22,4
2023-01-29,3
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
