Category: All categories

Week,Flow: (Worldwide)
2021-01-31,38
2021-02-07,37
2021-02-14,36
2021-02-21,38
2021-02-28,41
2021-03-07,40
2021-03-14,40
2021-03-21,41
2021-03-28,38
2021-04-04,43
2021-04-11,43
2021-04-18,43
2021-04-25,51
2021-05-02,45
2021-05-09,44
2021-05-16,45
2021-05-23,45
2021-05-30,44
2021-06-06,44
2021-06-13,44
2021-06-20,45
2021-06-27,47
2021-07-04,48
2021-07-11,51
2021-07-18,51
2021-07-25,47
2021-08-01,45
2021-08-08,44
2021-08-15,42
2021-08-22,45
2021-08-29,47
2021-09-05,48
2021-09-12,48
2021-09-19,48
2021-09-26,44
2021-10-03,46
2021-10-10,47
2021-10-17,49
2021-10-24,48
2021-10-31,44
2021-11-07,47
2021-11-14,52
2021-11-21,57
2021-11-28,58
2021-12-05,60
2021-12-12,100
2021-12-19,84
2021-12-26,100
2022-01-02,100
2022-01-09,80
2022-01-16,65
2022-01-23,62
2022-01-30,65
2022-02-06,69
2022-02-13,60
2022-02-20,66
2022-02-27,56
2022-03-06,55
2022-03-13,62
2022-03-20,69
2022-03-27,70
2022-04-03,55
2022-04-10,47
2022-04-17,48
2022-04-24,48
2022-05-01,45
2022-05-08,44
2022-05-15,42
2022-05-22,44
2022-05-29,44
2022-06-05,43
2022-06-12,43
2022-06-19,43
2022-06-26,41
2022-07-03,38
2022-07-10,39
2022-07-17,40
2022-07-24,38
2022-07-31,37
2022-08-07,42
2022-08-14,38
2022-08-21,39
2022-08-28,39
2022-09-04,40
2022-09-11,40
2022-09-18,40
2022-09-25,41
2022-10-02,40
2022-10-09,42
2022-10-16,46
2022-10-23,40
2022-10-30,41
2022-11-06,41
2022-11-13,43
2022-11-20,43
2022-11-27,45
2022-12-04,42
2022-12-11,41
2022-12-18,34
2022-12-25,33
2023-01-01,38
2023-01-08,38
2023-01-15,40
2023-01-22,39
2023-01-29,42
2023-02-05,44
2023-02-12,42
2023-02-19,44
2023-02-26,42
2023-03-05,42
2023-03-12,43
2023-03-19,42
2023-03-26,41
2023-04-02,41
2023-04-09,40
2023-04-16,41
2023-04-23,44
2023-04-30,40
2023-05-07,41
2023-05-14,39
2023-05-21,40
