Category: All categories

Week,KuCoin: (Worldwide)
2018-05-27,11
2018-06-03,11
2018-06-10,9
2018-06-17,7
2018-06-24,7
2018-07-01,7
2018-07-08,11
2018-07-15,8
2018-07-22,7
2018-07-29,7
2018-08-05,5
2018-08-12,5
2018-08-19,4
2018-08-26,5
2018-09-02,5
2018-09-09,5
2018-09-16,4
2018-09-23,7
2018-09-30,5
2018-10-07,5
2018-10-14,5
2018-10-21,5
2018-10-28,5
2018-11-04,5
2018-11-11,4
2018-11-18,4
2018-11-25,4
2018-12-02,4
2018-12-09,3
2018-12-16,3
2018-12-23,4
2018-12-30,2
2019-01-06,3
2019-01-13,3
2019-01-20,3
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,7
2019-02-24,4
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,7
2019-03-31,8
2019-04-07,4
2019-04-14,4
2019-04-21,3
2019-04-28,3
2019-05-05,3
2019-05-12,7
2019-05-19,5
2019-05-26,6
2019-06-02,4
2019-06-09,5
2019-06-16,6
2019-06-23,7
2019-06-30,5
2019-07-07,6
2019-07-14,4
2019-07-21,3
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,3
2019-08-25,4
2019-09-01,4
2019-09-08,5
2019-09-15,4
2019-09-22,4
2019-09-29,3
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,4
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,2
2019-12-15,2
2019-12-22,3
2019-12-29,3
2020-01-05,4
2020-01-12,5
2020-01-19,3
2020-01-26,3
2020-02-02,4
2020-02-09,5
2020-02-16,4
2020-02-23,3
2020-03-01,4
2020-03-08,3
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,4
2020-05-03,5
2020-05-10,7
2020-05-17,6
2020-05-24,4
2020-05-31,4
2020-06-07,5
2020-06-14,4
2020-06-21,3
2020-06-28,4
2020-07-05,4
2020-07-12,5
2020-07-19,7
2020-07-26,8
2020-08-02,8
2020-08-09,8
2020-08-16,9
2020-08-23,7
2020-08-30,7
2020-09-06,6
2020-09-13,4
2020-09-20,8
2020-09-27,9
2020-10-04,4
2020-10-11,3
2020-10-18,3
2020-10-25,3
2020-11-01,3
2020-11-08,3
2020-11-15,5
2020-11-22,6
2020-11-29,5
2020-12-06,4
2020-12-13,4
2020-12-20,5
2020-12-27,8
2021-01-03,11
2021-01-10,9
2021-01-17,9
2021-01-24,11
2021-01-31,16
2021-02-07,28
2021-02-14,26
2021-02-21,24
2021-02-28,17
2021-03-07,28
2021-03-14,36
2021-03-21,29
2021-03-28,35
2021-04-04,48
2021-04-11,53
2021-04-18,50
2021-04-25,40
2021-05-02,65
2021-05-09,83
2021-05-16,47
2021-05-23,31
2021-05-30,26
2021-06-06,20
2021-06-13,18
2021-06-20,16
2021-06-27,16
2021-07-04,23
2021-07-11,17
2021-07-18,16
2021-07-25,19
2021-08-01,22
2021-08-08,28
2021-08-15,33
2021-08-22,38
2021-08-29,38
2021-09-05,45
2021-09-12,38
2021-09-19,32
2021-09-26,30
2021-10-03,42
2021-10-10,44
2021-10-17,53
2021-10-24,84
2021-10-31,100
2021-11-07,98
2021-11-14,80
2021-11-21,81
2021-11-28,84
2021-12-05,58
2021-12-12,53
2021-12-19,52
2021-12-26,54
2022-01-02,78
2022-01-09,70
2022-01-16,59
2022-01-23,59
2022-01-30,52
2022-02-06,58
2022-02-13,47
2022-02-20,45
2022-02-27,43
2022-03-06,41
2022-03-13,38
2022-03-20,43
2022-03-27,51
2022-04-03,52
2022-04-10,46
2022-04-17,44
2022-04-24,40
2022-05-01,42
2022-05-08,72
2022-05-15,53
2022-05-22,63
2022-05-29,54
2022-06-05,38
2022-06-12,35
2022-06-19,32
2022-06-26,40
2022-07-03,32
2022-07-10,25
2022-07-17,31
2022-07-24,31
2022-07-31,25
2022-08-07,27
2022-08-14,26
2022-08-21,26
2022-08-28,26
2022-09-04,31
2022-09-11,33
2022-09-18,26
2022-09-25,24
2022-10-02,23
2022-10-09,23
2022-10-16,21
2022-10-23,23
2022-10-30,25
2022-11-06,38
2022-11-13,29
2022-11-20,22
2022-11-27,31
2022-12-04,21
2022-12-11,16
2022-12-18,17
2022-12-25,17
2023-01-01,16
2023-01-08,23
2023-01-15,23
2023-01-22,22
2023-01-29,24
2023-02-05,24
2023-02-12,27
2023-02-19,24
2023-02-26,22
2023-03-05,24
2023-03-12,23
2023-03-19,25
2023-03-26,22
2023-04-02,21
2023-04-09,24
2023-04-16,40
2023-04-23,25
2023-04-30,25
2023-05-07,21
2023-05-14,18
2023-05-21,17
