Category: All categories

Week,Solana: (Worldwide)
2020-04-12,8
2020-04-19,7
2020-04-26,7
2020-05-03,7
2020-05-10,7
2020-05-17,7
2020-05-24,8
2020-05-31,8
2020-06-07,8
2020-06-14,8
2020-06-21,9
2020-06-28,8
2020-07-05,9
2020-07-12,9
2020-07-19,9
2020-07-26,9
2020-08-02,9
2020-08-09,10
2020-08-16,9
2020-08-23,9
2020-08-30,9
2020-09-06,9
2020-09-13,9
2020-09-20,8
2020-09-27,8
2020-10-04,8
2020-10-11,7
2020-10-18,8
2020-10-25,7
2020-11-01,8
2020-11-08,8
2020-11-15,8
2020-11-22,7
2020-11-29,8
2020-12-06,8
2020-12-13,7
2020-12-20,8
2020-12-27,9
2021-01-03,10
2021-01-10,9
2021-01-17,8
2021-01-24,8
2021-01-31,8
2021-02-07,9
2021-02-14,8
2021-02-21,11
2021-02-28,9
2021-03-07,10
2021-03-14,8
2021-03-21,9
2021-03-28,13
2021-04-04,12
2021-04-11,12
2021-04-18,17
2021-04-25,25
2021-05-02,21
2021-05-09,20
2021-05-16,24
2021-05-23,17
2021-05-30,17
2021-06-06,20
2021-06-13,16
2021-06-20,16
2021-06-27,14
2021-07-04,12
2021-07-11,13
2021-07-18,13
2021-07-25,13
2021-08-01,14
2021-08-08,15
2021-08-15,36
2021-08-22,33
2021-08-29,80
2021-09-05,100
2021-09-12,74
2021-09-19,43
2021-09-26,33
2021-10-03,43
2021-10-10,39
2021-10-17,53
2021-10-24,58
2021-10-31,73
2021-11-07,78
2021-11-14,68
2021-11-21,57
2021-11-28,63
2021-12-05,52
2021-12-12,51
2021-12-19,45
2021-12-26,46
2022-01-02,64
2022-01-09,65
2022-01-16,68
2022-01-23,75
2022-01-30,66
2022-02-06,56
2022-02-13,50
2022-02-20,48
2022-02-27,45
2022-03-06,40
2022-03-13,35
2022-03-20,40
2022-03-27,58
2022-04-03,51
2022-04-10,42
2022-04-17,43
2022-04-24,48
2022-05-01,48
2022-05-08,61
2022-05-15,48
2022-05-22,44
2022-05-29,51
2022-06-05,38
2022-06-12,43
2022-06-19,43
2022-06-26,33
2022-07-03,26
2022-07-10,26
2022-07-17,29
2022-07-24,26
2022-07-31,38
2022-08-07,27
2022-08-14,25
2022-08-21,22
2022-08-28,23
2022-09-04,22
2022-09-11,22
2022-09-18,21
2022-09-25,22
2022-10-02,20
2022-10-09,21
2022-10-16,19
2022-10-23,19
2022-10-30,22
2022-11-06,71
2022-11-13,41
2022-11-20,23
2022-11-27,21
2022-12-04,19
2022-12-11,20
2022-12-18,16
2022-12-25,28
2023-01-01,31
2023-01-08,31
2023-01-15,29
2023-01-22,23
2023-01-29,22
2023-02-05,20
2023-02-12,21
2023-02-19,23
2023-02-26,20
2023-03-05,20
2023-03-12,19
2023-03-19,19
2023-03-26,19
2023-04-02,17
2023-04-09,22
2023-04-16,21
2023-04-23,18
2023-04-30,16
2023-05-07,19
2023-05-14,16
2023-05-21,16
