Category: All categories

Week,TRON: (Worldwide)
2018-05-27,61
2018-06-03,50
2018-06-10,47
2018-06-17,53
2018-06-24,52
2018-07-01,48
2018-07-08,48
2018-07-15,48
2018-07-22,54
2018-07-29,50
2018-08-05,47
2018-08-12,48
2018-08-19,46
2018-08-26,47
2018-09-02,51
2018-09-09,49
2018-09-16,63
2018-09-23,51
2018-09-30,47
2018-10-07,52
2018-10-14,48
2018-10-21,49
2018-10-28,41
2018-11-04,46
2018-11-11,50
2018-11-18,41
2018-11-25,55
2018-12-02,49
2018-12-09,44
2018-12-16,50
2018-12-23,53
2018-12-30,53
2019-01-06,60
2019-01-13,53
2019-01-20,50
2019-01-27,50
2019-02-03,50
2019-02-10,47
2019-02-17,49
2019-02-24,46
2019-03-03,54
2019-03-10,51
2019-03-17,56
2019-03-24,57
2019-03-31,62
2019-04-07,67
2019-04-14,100
2019-04-21,85
2019-04-28,96
2019-05-05,85
2019-05-12,87
2019-05-19,93
2019-05-26,57
2019-06-02,51
2019-06-09,42
2019-06-16,42
2019-06-23,38
2019-06-30,38
2019-07-07,38
2019-07-14,37
2019-07-21,37
2019-07-28,37
2019-08-04,36
2019-08-11,39
2019-08-18,36
2019-08-25,35
2019-09-01,36
2019-09-08,36
2019-09-15,34
2019-09-22,36
2019-09-29,35
2019-10-06,36
2019-10-13,34
2019-10-20,32
2019-10-27,38
2019-11-03,34
2019-11-10,38
2019-11-17,43
2019-11-24,38
2019-12-01,39
2019-12-08,34
2019-12-15,42
2019-12-22,44
2019-12-29,40
2020-01-05,37
2020-01-12,36
2020-01-19,35
2020-01-26,35
2020-02-02,48
2020-02-09,44
2020-02-16,45
2020-02-23,40
2020-03-01,35
2020-03-08,32
2020-03-15,32
2020-03-22,32
2020-03-29,32
2020-04-05,35
2020-04-12,39
2020-04-19,33
2020-04-26,34
2020-05-03,37
2020-05-10,33
2020-05-17,35
2020-05-24,35
2020-05-31,33
2020-06-07,36
2020-06-14,33
2020-06-21,35
2020-06-28,33
2020-07-05,51
2020-07-12,39
2020-07-19,36
2020-07-26,37
2020-08-02,38
2020-08-09,48
2020-08-16,53
2020-08-23,44
2020-08-30,52
2020-09-06,49
2020-09-13,46
2020-09-20,44
2020-09-27,44
2020-10-04,42
2020-10-11,39
2020-10-18,37
2020-10-25,39
2020-11-01,36
2020-11-08,35
2020-11-15,37
2020-11-22,41
2020-11-29,40
2020-12-06,40
2020-12-13,47
2020-12-20,56
2020-12-27,54
2021-01-03,53
2021-01-10,48
2021-01-17,48
2021-01-24,48
2021-01-31,53
2021-02-07,77
2021-02-14,82
2021-02-21,76
2021-02-28,74
2021-03-07,73
2021-03-14,67
2021-03-21,66
2021-03-28,75
2021-04-04,93
2021-04-11,99
2021-04-18,88
2021-04-25,81
2021-05-02,83
2021-05-09,77
2021-05-16,70
2021-05-23,65
2021-05-30,57
2021-06-06,54
2021-06-13,52
2021-06-20,55
2021-06-27,53
2021-07-04,48
2021-07-11,53
2021-07-18,52
2021-07-25,52
2021-08-01,50
2021-08-08,53
2021-08-15,54
2021-08-22,52
2021-08-29,55
2021-09-05,51
2021-09-12,59
2021-09-19,52
2021-09-26,49
2021-10-03,50
2021-10-10,49
2021-10-17,48
2021-10-24,52
2021-10-31,53
2021-11-07,54
2021-11-14,50
2021-11-21,49
2021-11-28,45
2021-12-05,49
2021-12-12,51
2021-12-19,52
2021-12-26,56
2022-01-02,56
2022-01-09,58
2022-01-16,57
2022-01-23,56
2022-01-30,54
2022-02-06,53
2022-02-13,53
2022-02-20,48
2022-02-27,48
2022-03-06,55
2022-03-13,56
2022-03-20,55
2022-03-27,52
2022-04-03,49
2022-04-10,48
2022-04-17,50
2022-04-24,48
2022-05-01,50
2022-05-08,48
2022-05-15,46
2022-05-22,46
2022-05-29,49
2022-06-05,48
2022-06-12,50
2022-06-19,47
2022-06-26,46
2022-07-03,44
2022-07-10,45
2022-07-17,41
2022-07-24,47
2022-07-31,45
2022-08-07,45
2022-08-14,44
2022-08-21,47
2022-08-28,44
2022-09-04,47
2022-09-11,43
2022-09-18,42
2022-09-25,43
2022-10-02,40
2022-10-09,40
2022-10-16,41
2022-10-23,42
2022-10-30,39
2022-11-06,44
2022-11-13,40
2022-11-20,35
2022-11-27,35
2022-12-04,36
2022-12-11,39
2022-12-18,37
2022-12-25,45
2023-01-01,42
2023-01-08,40
2023-01-15,48
2023-01-22,46
2023-01-29,50
2023-02-05,48
2023-02-12,48
2023-02-19,44
2023-02-26,44
2023-03-05,44
2023-03-12,46
2023-03-19,46
2023-03-26,46
2023-04-02,46
2023-04-09,48
2023-04-16,44
2023-04-23,42
2023-04-30,41
2023-05-07,36
2023-05-14,36
2023-05-21,36
